"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"1","Blake Matjoulis","US","Region 1","New York","854","533","3","2","139","722","14","31716","19687","1.31","P 4.99","9361","1350","14275","118383","273418"
"2","Dillon Semmelmann","US","Region 3","Midwest","1857","1183","2","3","135","1538","15","60376","40022","2.19","P 3.49","9110","1329","10306","250122","270914"
"3","Evan Seay","US","Region 1","Carolina","935","320","4","4","117","576","14","34052","13097","1.9","P 4.37","8868","1235","5018","109414","330143"
"4","Alex A Bergeron","CA","Region 2","Canada","1397","898","3","2","127","1211","14","46674","28271","1.52","P 4.52","8557","1377","29758","177230","246298"
"5","Zack McSwain","US","Region 1","Carolina","1030","513","3","3","131","798","14","37816","18810","1.21","P 4.47","8421","1299","4556","134695","366325"
"6","Kendal Tucker","US","Region 1","Carolina","491","226","3","4","116","338","14","17029","8522","1.93","P 3.69","8364","1259","4276","56983","268718"
"7","Dylan R. Houser","US","Region 1","Florida","2038","1088","3","3","122","1535","14","74834","40431","2.44","P 2.16","7676","1347","29916","249381","268611"
"8","Tim Ryan","AU","N/A","Australia/NZ","529","386","2","3","126","444","15","18767","15215","2.09","A 3.92","7672","1278","1816","66875","116335"
"9","Tyler Schell","US","Region 4","Pennsylvania","2782","1203","4","4","114","1949","14","88797","40536","2.44","A 2.46","7592","1329","10008","317541","287779"
"10","Dylan Wilson","US","Region 2","California Club","136","67","3","3","154","109","14","5406","2526","1.19","P 4.72","7531","1350","3685","20951","67353"
"11","Bryce Bailey","US","Region 1","New York","975","479","3","3","112","692","13","28653","15180","2.36","A 4.51","7480","1252","5226","108853","352997"
"12","Tyler D Hudson","US","Region 1","Mid-South","264","202","2","2","131","246","14","10779","7463","0.5","A 4.99","7409","1350","2006","34627","17070"
"13","James Edens","US","Region 2","California Club","676","281","4","4","120","498","15","23571","9441","1.78","P 3.62","7315","1388","14359","81091","77711"
"14","Howard Weaver","US","Region 1","Mid-South","379","218","3","3","125","307","13","14523","8091","1.51","A 4.76","7303","1350","6939","47357","89416"
"15","Cameron Merriman","US","Region 2","Ohio","778","321","4","4","127","535","16","26256","11237","2.52","P 2.63","7177","1281","3444","98511","330255"
"16","Jordan Casey","US","Region 3","Midwest","491","178","4","5","104","291","13","16209","7065","2.09","A 4.99","7146","1350","2545","50972","333265"
"17","Hayden Cardwell","US","Region 1","Mid-South","892","347","4","4","127","587","14","30137","12383","2.61","P 1.47","7127","1381","9562","113575","273744"
"18","Garrett Manes","US","N/A","Virginias","545","344","2","2","123","466","14","18241","11377","0.84","A 4.99","7067","1201","16210","67156","194770"
"19","Shaun Timmerman","US","N/A","Midwest","480","276","3","3","108","361","13","11313","6804","1.9","A 4.53","7067","1298","1423","51969","279238"
"20","Trevor Throne","US","Region 5","Illinois","752","223","4","4","113","464","14","25745","8035","2.09","A 2.33","6941","1530","5702","85057","239931"
"21","Kevin Dedmon","US","Region 1","Carolina","675","269","4","3","120","499","13","24451","8073","1.11","P 4.52","6922","1338","10499","80990","83634"
"22","Blake Nelms","US","Region 4","Northwest","762","344","3","3","97","519","12","22073","11043","1.36","A 4.99","6907","1350","7596","73938","326083"
"23","JD Brown","US","Region 2","California Club","656","215","4","4","117","397","13","22375","7391","1.31","P 4.99","6870","1350","13541","76481","253462"
"24","Chris K. McGuire","US","Region 1","Mid-South","1171","798","2","2","129","1008","13","42447","29226","0.98","A 4.73","6831","1297","3957","150696","295661"
"25","Richard Murtaugh Jr.","US","N/A","New York","1040","383","4","4","113","690","15","36374","14000","2.75","A 4.44","6677","1259","10358","117134","238367"
"26","Vinnie Sansone","US","Region 5","Illinois","784","161","5","5","110","405","14","26479","6313","2.33","A 4.55","6652","1285","20021","85956","20851"
"27","David Heileman","US","Region 3","Midwest","1063","409","4","3","119","791","15","35981","13343","2.09","A 1.46","6646","1350","14867","126607","279273"
"28","Barrett Bishop","US","Region 1","Carolina","314","158","3","3","104","222","12","10231","4911","0.93","A 4.99","6524","1350","4793","32581","275393"
"29","Tyler D. Hudson","US","N/A","Mid-South","276","117","4","3","125","213","15","10336","4142","1.15","A 4.99","6497","1350","2215","34593","261989"
"30","Braden Eyler","US","Region 4","Pennsylvania","381","121","5","5","122","234","16","12776","4185","2.77","P 2.38","6485","1438","2263","46422","306929"
"31","Nelson Webster","US","Region 2","California Club","293","123","3","4","114","213","14","9488","4287","1.47","A 4.99","6425","2104","5286","33493","271235"
"32","Tyler Ducharme","US","N/A","New England","291","47","6","5","123","155","15","11733","1701","2.85","P 2.33","6416","1341","14915","35691","124109"
"33","Mason Clark","US","Region 6","Michigan","355","115","4","4","130","229","15","13637","4386","2.17","A 2.73","6386","1311","2078","46021","249209"
"34","Brandon Schmidt","US","Region 2","Midwest","329","150","3","3","114","246","12","11043","4713","1.34","A 4.75","6383","1350","1020","37373","42361"
"35","Zach Leonhardi","US","Region 3","Georgia","381","181","3","3","121","294","14","14914","6799","1.62","P 2.39","6373","1350","9220","46006","83087"
"36","Jay Place","US","Region 1","Carolina","368","134","4","4","102","220","13","11409","4681","1.6","A 4.16","6352","1350","2394","37568","172417"
"37","Chad Swarts","US","Region 6","Michigan","1302","648","2","3","116","1008","12","42078","22487","0.52","A 4.99","6346","1441","17758","150869","312921"
"38","Devon Morgan","US","Region 1","Carolina","147","81","3","3","125","117","14","5208","2723","1.47","P 3.40","6329","1350","1285","18387","145156"
"39","Austen Semmelmann2","US","Region 3","Midwest","1585","1011","2","2","121","1327","13","53175","34723","0.93","P 4.91","6303","1248","24101","191201","269057"
"40","Austin M Carr","US","Region 1","Florida","168","48","5","4","122","100","15","7019","1937","2.1","P 3.26","6276","1350","2898","20577","91315"
"41","Nick Cooper","US","N/A","New York","363","154","4","4","110","263","14","11400","4428","1.65","A 4.44","6271","1393","7984","39997","124353"
"42","Richie Preston","US","Region 4","Pennsylvania","1576","269","5","5","86","706","13","42249","8428","2.22","A 3.66","6261","1411","1952","135446","287231"
"43","Steve Barlee","AU","Region 1","Australia/NZ","525","399","2","2","103","456","11","14263","11361","1.17","A 3.70","6253","1456","2108","53920","267700"
"44","Cole Neuhalfen","US","Region 4","Great Plains","616","168","4","5","111","360","14","18995","6184","2.59","A 3.23","6224","1273","4294","68319","279234"
"45","Michael Meek","US","Region 5","Great Plains","633","276","3","3","110","439","13","17127","7492","1.97","A 2.79","6212","1275","1907","69917","55034"
"46","Shane James3","US","Region 4","Indiana","447","179","3","4","108","299","13","15834","6397","0.9","P 4.99","6186","1374","4612","48114","270384"
"47","Jacob Fields","US","Region 4","Indiana","499","151","4","4","116","326","13","19048","5504","1.37","P 4.48","6182","1350","8798","57736","248798"
"48","Steven Wilson3","US","N/A","Midwest","488","131","4","4","103","279","14","15570","3623","2.43","P 3.54","6126","1350","3615","50159","260356"
"49","Robert Kerstetter2","US","N/A","Pennsylvania","533","284","2","3","110","431","14","17016","10378","1.81","A 2.28","6071","1318","2769","58773","251721"
"50","Kyle Sosnoski","US","Region 4","Pennsylvania","626","139","5","5","96","322","14","20428","6011","3.73","B 2.74","6052","1311","586","59905","302350"
"51","Lucas Chowning","US","Region 1","Mid-South","712","136","4","4","116","400","14","27894","6528","2.02","A 4.80","6045","1350","5078","82492","176074"
"52","Adam Elby","US","N/A","California Club","584","163","5","5","106","358","15","19852","5760","3.16","P 1.53","6038","1413","8637","61890","80993"
"53","Cobe Stidham","US","Region 2","California Club","705","185","5","5","102","374","15","21373","6470","3.65","B 2.19","6031","1217","1892","72205","270311"
"54","Chris Brenner","US","Region 2","Ohio","702","382","3","3","115","537","14","21237","12622","2","A 3.37","6023","1264","7907","80426","270816"
"55","Charles Cosper","US","Region 3","Texas","347","218","2","2","106","294","12","11323","7306","0.75","A 3.66","6018","1350","12826","36857","20867"
"56","Brad Moore","US","Region 2","Ohio","259","77","4","4","121","149","14","10389","3112","1.85","A 4.05","5975","1350","5554","31351","57036"
"57","Rickey J Sanders","US","Region 2","California Club","2348","1069","4","4","111","1581","14","69489","34050","3.74","B 1.84","5971","1387","12440","261381","278207"
"58","Cody Howard","US","Region 1","Mid-South","862","166","4","4","97","443","12","28172","6691","2.09","A 4.32","5968","1300","2657","83344","340032"
"59","Cole V Cabre","US","N/A","Florida","471","125","5","5","113","272","15","16399","4257","3.27","P 1.20","5962","1244","6352","53286","48893"
"60","Austin Matthews4","US","Region 4","Great Plains","1052","346","3","4","109","688","13","35644","11661","1.56","P 4.23","5958","1350","16257","114905","275289"
"61","Greg Throne2","US","Region 5","Illinois","1373","162","5","5","99","683","14","46953","7408","1.74","A 4.99","5944","1366","7330","136527","239790"
"62","Blake Cannon","US","Region 3","Georgia","319","102","5","5","125","190","15","11485","3492","2.66","P 2.87","5927","1364","7515","39985","82668"
"63","Hunter Stiffler","US","Region 4","Pennsylvania","724","216","4","4","118","489","14","26692","8652","1.74","A 4.99","5913","1350","3415","85162","277349"
"64","Chad Combs4","US","Region 4","Indiana","1049","216","4","5","97","536","13","32951","7939","1.05","A 4.99","5880","1350","5097","101989","373977"
"65","Jeremy Capron","US","Region 3","Midwest","484","189","3","3","114","347","13","18629","7580","1.07","A 4.99","5879","1375","5183","55394","150541"
"66","Cory Wentzel","US","Region 4","Pennsylvania","4169","755","4","4","108","2420","14","124603","25778","2.12","A 1.80","5874","1490","11421","451344","71021"
"67","Cole Harvey","US","Region 4","Pennsylvania","677","121","4","5","91","285","13","22846","5037","1.62","A 4.99","5864","1350","3966","61630","314859"
"68","Corey Hines","US","N/A","Ohio","223","79","3","4","116","161","15","7173","2859","1.97","A 3.06","5861","1257","863","25932","241529"
"69","John Aletich","US","Region 6","New Jersey","643","151","4","5","98","363","14","21187","5746","1.59","A 4.71","5821","1396","12434","62942","353888"
"70","Lewis Hewett","AU","Region 1","Australia/NZ","1332","520","3","4","106","860","14","41695","19887","2.59","P 1.36","5807","1334","11689","140821","272849"
"71","Davin Cardwell","US","Region 1","Mid-South","886","276","4","4","100","521","13","27651","9592","1.91","P 2.57","5787","1350","4019","88259","274807"
"72","Ryan Mayr","US","Region 3","Midwest","1095","191","5","5","106","625","15","38611","7270","3.18","A 3.02","5770","1284","3370","116268","181189"
"73","Mike McKinney","US","Region 5","Illinois","154","71","4","3","121","122","14","5666","2325","1.92","A 4.57","5768","1350","2331","18687","29915"
"74","Harry Stewart","AU","Region 1","Australia/NZ","526","155","4","5","76","255","12","13311","5057","2.65","A 4.29","5754","1350","2017","40194","307248"
"75","John Battista","US","Region 2","Ohio","306","78","4","4","112","184","14","9609","2344","2.27","A 3.60","5743","1350","6469","34221","70508"
"76","Brian Weyandt Jr","US","N/A","Pennsylvania","582","171","3","4","121","393","14","22793","7269","1.59","P 3.37","5743","1312","3936","70535","86801"
"77","Shaun Timmerman2","US","Region 3","Midwest","254","120","3","4","121","189","14","7767","4172","2.7","B 1.67","5724","1286","936","30817","388786"
"78","Daniel Hartigan","AU","Region 1","Australia/NZ","391","181","3","3","100","281","12","11387","5031","2.19","A 2.79","5698","1163","2939","39285","313517"
"79","Virgil Graham","US","Region 4","Pennsylvania","169","57","3","3","107","110","13","7233","2689","1.2","A 4.99","5685","1350","2375","18157","264174"
"80","Clifford Driskel","US","Region 3","West","541","69","5","5","82","213","13","16329","2367","1.81","A 4.99","5679","1779","9261","44137","317684"
"81","Matthew Andreesen","US","Region 3","Midwest","222","100","4","3","93","138","12","6499","2935","1.45","A 4.99","5669","1350","637","20571","248840"
"82","James Tiernan","US","Region 5","Illinois","326","97","4","4","105","180","13","10261","3499","2.83","A 2.35","5657","1424","4360","34366","346633"
"83","Braden Johnson","US","Region 5","Illinois","1117","212","6","5","86","484","13","32117","6049","2.93","A 2.62","5643","1350","8281","96205","350039"
"84","Kenneth Moreland","US","Region 3","Texas","401","133","3","4","89","236","12","10417","4407","1.31","A 4.99","5628","1198","1692","35752","186476"
"85","Bobby Sandt Jr","US","Region 4","Pennsylvania","383","130","4","4","115","241","14","12447","4573","2.62","A 2.45","5588","1552","4081","44014","35068"
"86","Kaleb Montgomery","US","Region 2","California Club","448","86","5","5","101","216","13","14519","3347","4.05","B 3.91","5559","1442","2457","45222","268743"
"87","Aiden Purdue","US","Region 5","Illinois","703","189","5","5","84","339","13","20550","6685","2.87","P 4.16","5552","1317","5156","59321","306407"
"88","Alex Smolders","CA","Region 2","Canada","1178","229","5","5","85","547","13","35648","7355","2.21","A 3.45","5547","1477","17057","99592","306417"
"89","Matt Ray","US","Region 4","Indiana","751","367","3","3","94","508","12","20533","9752","1.86","A 3.80","5547","1633","9673","70749","328096"
"90","Timothy Smith7","US","Region 2","Ohio","245","96","3","3","110","180","14","7120","2904","2.11","A 2.96","5545","1350","3657","26889","275939"
"91","Mason Crawford","US","Region 3","Texas","270","108","4","4","104","177","12","8545","3948","1.3","P 3.31","5534","1350","5039","27964","269138"
"92","William Yeager3","US","Region 6","New Jersey","354","105","4","5","89","192","13","9572","3006","2.07","A 3.51","5529","1350","11244","31470","343977"
"93","Graham A. Bowlin","US","N/A","Texas","330","142","3","4","104","236","13","8527","3533","2.51","A 3.52","5528","1350","6075","34415","222922"
"94","Zack Novak","US","N/A","New England","324","54","6","6","110","156","15","11045","1962","3.43","A 2.56","5519","1350","7353","35744","87205"
"95","Blake Murray","US","Region 1","Carolina","878","152","5","5","83","394","13","26556","5456","2.56","A 4.79","5505","1155","2985","73174","334645"
"96","Rocky Battenfield","US","Region 5","Great Plains","1051","337","4","4","98","645","13","33973","10852","1.82","A 4.47","5488","1350","13251","103071","64463"
"97","Tanner Tomasi","US","Region 4","Great Plains","437","97","5","5","81","206","13","13538","3686","2.04","A 4.28","5473","1246","2315","35569","275149"
"98","Gavin Collins","US","Region 1","New York","622","122","4","5","83","305","13","17007","4270","1.94","A 4.34","5456","1307","5104","51919","268179"
"99","David Heileman2","US","Region 3","Midwest","225","78","8","4","128","168","16","7548","1941","3.47","B 2.45","5446","1350","1644","28904","338122"
"100","Clayton W Tilley","AU","Region 1","Australia/NZ","850","389","3","4","100","563","13","25976","12988","3.17","A 2.55","5435","1350","1446","84724","264654"
"101","Logan Clampitt","US","N/A","California Club","337","97","4","5","103","193","14","9594","2981","2.8","A 3.24","5427","1362","2841","34677","119681"
"102","Grant Ryals","US","Region 1","Florida","165","63","4","4","111","94","13","6457","2520","1.89","P 2.72","5414","1350","3218","18374","196824"
"103","Jason DeVriese","US","Region 1","Florida","185","127","2","2","85","140","9","4877","3487","0.97","A 4.99","5394","1177","1784","15657","16743"
"104","Brandyn Proudfoot","US","Region 4","Pennsylvania","308","91","5","5","110","162","14","12159","3851","2.42","P 2.09","5374","1241","1576","34029","267274"
"105","Blake L Brown","US","Region 3","Midwest","448","41","6","5","95","154","13","16983","1833","2.15","P 2.13","5358","1350","2210","42411","302504"
"106","Dustin Benton","US","Region 1","Mid-South","1082","228","5","5","68","447","13","31571","7942","2.68","A 4.21","5341","1302","979","73641","369477"
"107","Tyler Burrow","US","Region 1","Mid-South","426","111","3","4","105","279","13","14782","4059","1.55","A 4.93","5340","1291","3150","44689","273201"
"108","Todd Swarts","US","Region 6","Michigan","232","114","3","3","91","159","11","6134","2935","0.93","A 4.99","5332","1254","1709","21089","298216"
"109","Dillon Raffurty","US","Region 5","Great Plains","72","33","3","3","129","55","14","2897","1181","1.31","P 4.23","5321","1350","408","9284","73546"
"110","Brycen Daffern","US","Region 3","Texas","1523","358","5","4","103","798","13","52278","12187","2.9","B 3.14","5321","1227","16951","156552","210596"
"111","Joel Berkley","AU","Region 1","Australia/NZ","498","143","4","4","99","271","13","15326","5172","3.18","P 1.78","5315","1337","4641","49303","116326"
"112","Brett White","US","Region 1","Mid-South","294","103","3","3","89","190","12","8439","3113","0.84","A 4.99","5310","1258","1056","26096","305416"
"113","Travis Card","US","Region 1","Mid-South","237","91","4","4","88","138","12","7128","2799","1.53","A 4.99","5295","1350","745","20805","90577"
"114","Ryan A Underwwod","US","Region 1","Carolina","348","95","5","4","92","198","13","10512","3416","1.48","A 4.26","5290","1289","2145","31905","281939"
"115","Chris Fisher","US","Region 4","Great Plains","319","45","6","6","99","123","14","11105","1440","2.23","A 4.99","5280","1203","1796","31714","86150"
"116","Bailey Hipp","US","Region 1","Carolina","806","211","5","6","77","373","13","22513","7550","2.87","A 2.91","5273","1282","2184","62178","270110"
"117","John Ruggiero Jr.","US","Region 1","Carolina","144","55","4","4","116","100","14","4780","1760","1.53","A 4.83","5273","1412","577","16632","348605"
"118","Jason Salter","US","Region 1","Mid-South","412","118","3","3","96","251","12","14316","3952","1.67","A 4.34","5272","1295","3336","39545","283110"
"119","Garrett Robinson","US","N/A","Georgia","575","124","5","5","97","283","14","18977","5055","2.93","A 3.44","5263","1257","8006","55905","240326"
"120","Ryan J Flaten","US","Region 3","Midwest","134","61","3","3","123","99","14","5187","2538","1.66","A 3.86","5249","1350","1282","16467","232834"
"121","Joe Lusk","US","N/A","Pennsylvania","393","108","4","5","101","207","13","12685","3487","2.45","A 2.50","5238","1290","3021","39846","142986"
"122","Trevor Berry","US","Region 6","Michigan","274","78","4","4","110","180","14","8114","1996","1.89","A 3.60","5209","1258","8499","30115","57691"
"123","Matthew W Howard","US","N/A","Great Plains","570","157","6","5","91","271","13","18721","5478","4.54","A 2.29","5209","1491","7856","51678","101879"
"124","Chase Cabre","US","Region 1","Florida","483","166","4","4","106","300","15","15258","5848","2.68","A 1.00","5191","1324","11568","51051","49398"
"125","Stan Culpepper","US","Region 3","Texas","548","240","4","4","73","293","10","14038","6842","1.89","A 4.64","5182","1651","5561","39893","145343"
"126","Coty Slawson","US","Region 2","California Club","550","75","6","6","75","192","13","17800","2874","2.63","A 3.83","5182","1350","5811","41468","365345"
"127","Dalton Cloyd","US","Region 4","Great Plains","775","166","5","5","89","359","13","25162","5684","3.07","A 3.11","5170","1350","3192","69020","323204"
"128","Brett M Ladehoff","US","N/A","Midwest","196","93","2","3","109","150","13","6506","3392","1.49","A 4.41","5165","1350","2872","21296","146364"
"129","Daniel Cummings Jr","US","Region 6","Michigan","693","57","7","6","68","186","13","24408","2075","2.92","P 3.35","5162","1350","7257","47150","354587"
"130","Christopher Joy","US","Region 4","Indiana","522","120","5","5","90","246","13","17876","4424","2.57","A 4.53","5161","1350","4149","46979","364424"
"131","Bobby Hackel","US","Region 1","New York","110","58","3","3","101","84","12","3176","1603","1.29","A 4.99","5158","1262","637","11060","24631"
"132","William Hargreaves","US","Region 3","Midwest","1303","242","5","5","81","559","13","37666","8794","2.01","A 4.62","5152","1350","2438","106084","384881"
"133","Chad Carter","US","Region 5","Atlantic","592","156","4","5","96","306","14","23102","8211","1.74","A 4.99","5149","1482","8459","57056","306183"
"134","Michael Sellers","US","Region 1","California Club","499","111","4","5","122","307","15","16829","4397","3.95","B 1.47","5147","1350","3166","60904","111098"
"135","Kole Dugger","US","Region 5","Illinois","416","95","4","5","90","192","13","12849","2882","1.68","A 4.42","5146","1199","1419","37634","389510"
"136","Jake Greenwood","US","Region 3","Midwest","659","99","6","6","75","267","13","16372","2807","3.2","A 3.71","5125","1474","1513","49701","287808"
"137","Johnny Ratley","US","Region 1","Carolina","379","98","3","5","70","180","12","9830","4148","1.19","A 4.99","5122","1239","891","26706","352377"
"138","Randall Carter","US","Region 1","Mid-South","341","41","5","5","93","149","14","12866","2153","2.36","A 3.27","5119","1240","1614","31552","290760"
"139","Bryan Eady2","US","Region 4","Northwest","267","107","3","4","105","181","14","8059","3385","1.2","A 4.98","5118","1350","1664","27944","426375"
"140","Devin Mayo","US","Region 2","California Club","268","31","6","5","97","114","14","8641","1030","2.72","A 3.30","5117","1258","1300","25961","305535"
"141","Alex Peck","US","Region 4","Northwest","121","42","3","3","108","91","13","3312","1127","1.72","A 4.10","5115","1382","806","13079","96224"
"142","Austin Anderson3","US","Region 3","Texas","347","80","5","5","89","178","13","11046","2356","1.86","A 3.75","5101","1225","3392","31021","348191"
"143","Jonathan Coombs","US","Region 5","Illinois","332","81","5","5","78","149","12","9924","2375","1.98","A 4.99","5093","1350","1595","25927","297332"
"144","Mathew Emmerling","US","N/A","Carolina","212","64","3","4","92","109","12","7810","2649","2.36","A 4.49","5081","1350","618","19502","109070"
"145","Ty Garl","US","Region 4","Pennsylvania","1283","299","5","5","80","614","13","39805","10429","2.19","A 3.67","5057","1350","6463","103145","338937"
"146","Josh Fox","US","Region 4","Pennsylvania","364","93","5","4","98","201","13","9865","2250","2.87","B 2.31","5053","1362","1303","35740","33992"
"147","Trevor Fitz","US","Region 2","California Club","135","46","4","4","109","77","13","4553","1636","2.28","A 3.55","5050","1350","2062","14682","72978"
"148","Dylonn Fox","US","N/A","Midwest","346","124","4","5","106","204","13","11903","4937","1.83","A 4.25","5049","1294","1958","36564","236023"
"149","Petteri Kotovaara","FI","Region 4","Finland","625","131","4","4","97","296","12","20714","6074","3","A 2.85","5045","1293","23917","60381","31811"
"150","Rusty L Kruger","US","Region 2","California Club","420","48","6","6","97","154","14","14225","1825","3.4","A 2.76","5044","1391","5722","40563","181056"
"151","Chase Raudman","US","Region 1","California Club","379","99","5","5","93","203","14","11596","3342","3.44","A 3.78","5039","1283","5121","35123","73242"
"152","Ted Liette","US","Region 2","Ohio","294","48","5","6","96","148","16","8995","2287","3.24","A 2.53","5039","1270","871","28331","271556"
"153","Barry Sorensen","US","Region 3","Midwest","405","49","6","6","66","141","13","11132","2069","2.26","A 4.45","4999","1287","1696","26846","253471"
"154","Jason Randolph","US","Region 3","Midwest","437","45","5","5","88","171","13","12081","1221","2.83","A 2.79","4998","1350","1181","38449","365283"
"155","Al Balducci","US","Region 1","New York","1690","186","5","6","78","604","14","52489","8551","2.62","A 3.58","4997","1276","6576","131012","251703"
"156","Cameron Higgins","US","Region 3","Texas","223","102","3","3","97","155","12","7748","3782","1.37","A 4.99","4995","1350","2164","21666","45196"
"157","Alec R Cain","US","Region 5","Illinois","260","54","5","6","97","106","14","8477","1961","3.52","A 3.08","4984","1350","2128","25091","109485"
"158","Jason Nygard","US","Region 2","Ohio","207","37","5","6","91","93","15","6614","1885","3.37","A 2.78","4982","1480","1791","18816","294916"
"159","Trent Ivey2","US","Region 1","Carolina","95","35","4","4","120","61","14","3220","1087","1.85","A 4.37","4964","1269","658","11382","269746"
"160","Connor M. Wilson","US","Region 1","Mid-South","622","67","6","6","88","217","14","22960","3144","2.61","A 2.28","4955","1236","538","54657","380166"
"161","Kevin Click","US","Region 2","Ohio","592","131","4","5","104","331","15","20381","6338","2.97","A 2.61","4952","1251","4755","61734","34129"
"162","Travis Storjohann","US","Region 3","Midwest","196","53","5","5","76","97","12","5977","1760","1.87","A 4.99","4946","1289","741","14818","275400"
"163","Eder Martins","US","Region 2","California Club","763","244","4","5","60","388","12","14375","6806","1.84","A 3.59","4935","1206","1541","45666","306487"
"164","Justin Thompson","US","Region 3","Georgia","322","72","4","4","121","196","15","13433","3510","2.11","A 3.60","4930","1350","3757","38882","18997"
"165","Eric Scalf","US","Region 2","Ohio","563","50","6","6","87","210","14","20675","2397","1.99","A 4.64","4925","1350","7895","49158","268191"
"166","Joshua Weems","US","Region 1","Mid-South","217","62","4","4","97","122","13","6354","1772","1.28","B 4.99","4900","1263","289","21104","64720"
"167","Chad Robinson2","US","Region 2","California Club","269","121","3","4","96","182","13","7929","4258","2.13","A 2.12","4898","1285","2532","25815","226932"
"168","Mike Keegan","US","Region 2","Ohio","599","61","7","6","80","195","14","17501","1512","3.44","A 2.35","4895","1290","4147","47783","269018"
"169","Jamie Massey","US","Region 1","Carolina","296","106","4","4","84","169","13","9048","3438","1.53","A 4.97","4892","1350","1865","24771","339010"
"170","Anthony LoPresto","US","Region 6","Michigan","350","136","4","4","95","230","13","10843","4546","2.65","A 2.23","4882","1258","9691","33301","119390"
"171","Drew Hopkins","US","Region 1","Mid-South","175","34","4","5","97","79","13","6056","1463","1.34","P 4.18","4882","1282","479","16914","329984"
"172","Blade Whitt","US","N/A","Virginias","209","61","5","5","98","114","13","6088","1646","2.73","A 3.59","4880","1467","3701","20450","24011"
"173","Kyle Duvall","US","Region 1","Mid-South","609","108","5","5","79","241","12","17444","3181","2.02","A 4.34","4852","1369","614","48330","424143"
"174","David Haulot","US","Region 2","California Club","464","43","6","6","94","179","15","14617","2109","3.31","B 2.58","4845","1350","1236","43652","384085"
"175","Matt Bussa","US","Region 5","Illinois","206","63","4","5","103","117","13","5326","1710","2.61","A 2.40","4836","1253","1249","21243","31545"
"176","Michael Sheridan","US","Region 3","Midwest","549","75","5","5","96","301","15","17533","2966","2.65","A 3.13","4830","1259","3142","52910","264361"
"177","David Lam","US","N/A","Virginias","162","59","3","3","97","102","11","5818","1745","1.46","A 4.58","4827","1390","3519","15749","83682"
"178","Reece Wilhelm","AU","Region 1","Australia/NZ","199","57","3","5","92","114","13","5735","2393","3.07","A 4.68","4824","1346","293","18332","374261"
"179","Austin Harnick","US","Region 6","Michigan","422","68","5","5","97","198","14","14066","2478","2.58","A 1.89","4820","1255","3660","40820","256122"
"180","Joe Quinn","US","Region 2","Ohio","332","22","5","6","105","117","14","11451","1175","2.56","A 2.77","4817","1257","5736","34697","25657"
"181","Ryan Diatte","US","Region 2","California Club","221","38","5","5","98","98","13","7289","1387","2.52","P 1.55","4816","1350","2446","21582","342657"
"182","Mark Broderick","US","Region 4","Pennsylvania","860","246","4","5","107","486","14","26939","9264","2.86","A 2.59","4809","1445","5646","91805","313758"
"183","Jesse Enterkin","US","Region 1","Florida","260","64","5","5","92","134","13","8283","2018","1.72","A 4.64","4808","1350","2738","23996","269643"
"184","Nate Chodur","US","Region 3","Midwest","203","44","4","4","102","122","14","7469","1780","1.42","A 4.40","4803","1350","661","20795","51394"
"185","Robert Fletcher3","US","N/A","Mid-South","431","28","7","6","89","116","14","15790","1006","2.55","A 3.86","4774","1269","1146","38486","342161"
"186","Tyler Hershey","US","Region 4","Pennsylvania","206","35","5","5","94","100","14","6519","1185","2.14","A 3.62","4767","1350","346","19453","42752"
"187","Matthew McKinney","US","Region 5","Illinois","162","36","5","5","88","84","14","5824","1293","2.96","A 2.27","4756","1291","3710","14214","97392"
"188","Joshua Hesson","US","Region 4","Indiana","689","108","5","5","96","337","13","23184","3804","2.07","A 3.13","4748","1189","6037","66348","346292"
"189","Austin J Yarbrough","US","Region 3","Georgia","458","76","5","6","96","224","14","15730","2673","3.35","A 3.75","4731","1350","5977","44185","184376"
"190","Ryan Harris3","US","Region 3","Texas","200","39","5","5","90","91","13","6541","1133","1.63","A 4.84","4720","1350","971","17943","98556"
"191","Wesley Gwaltney","US","Region 1","Mid-South","439","49","5","6","80","141","13","14517","2058","2.83","A 2.47","4715","1350","1284","34978","309768"
"192","William Byron Jr","US","Region 1","Carolina","85","18","4","4","122","52","16","2938","822","3.39","A 2.34","4713","1350","151","10367","65874"
"193","Wayne Williams","US","Region 3","Texas","429","201","2","4","96","299","14","14706","8857","2.11","A 3.43","4710","1490","6383","41176","312022"
"194","Nathan Casler","US","Region 3","Midwest","749","106","4","5","84","292","13","27864","4971","1.58","A 4.99","4707","1350","3492","63195","90790"
"195","Michael Morris6","US","Region 4","Northwest","1683","624","4","5","71","891","11","44327","19244","1.66","A 4.48","4707","1705","20378","119962","114710"
"196","Chance Ciskowski","US","Region 3","Midwest","866","144","6","6","70","336","13","21929","4557","3.41","A 3.42","4694","1310","3883","60927","146023"
"197","Billy Rowlee","US","Region 2","Ohio","647","53","6","6","86","217","14","20288","2657","3.48","B 2.14","4689","1310","5692","55957","304582"
"198","Tyler Hargrove","US","Region 1","Mid-South","671","60","6","7","66","167","13","21024","2344","2.63","A 2.41","4683","1499","1639","44135","303800"
