"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"6837","Devin LaMay","US","Region 1","New York","143","2","7","7","31","12","12","3157","24","2.41","A 2.44","1396","1119","128","4450","359839"
"6838","Virgil Graham Jr","US","Region 4","Pennsylvania","349","13","7","7","38","56","13","9868","646","2.5","B 4.30","1396","1350","321","13414","362440"
"6839","Chase N Johnson","US","Region 2","Virginias","90","12","5","6","31","24","11","1570","364","3.07","B 1.95","1396","1350","209","2783","370023"
"6840","KF Smith","US","Region 3","Georgia","49","0","9","6","43","1","11","1128","27","1.67","A 2.40","1396","1167","74","2099","413146"
"6841","Lane Hosler","US","Region 2","Ohio","77","1","8","7","40","9","13","2160","24","2.99","B 3.53","1396","1187","189","3071","448753"
"6842","Josh Wilson3","US","Region 1","Mid-South","80","7","7","7","43","15","12","1911","141","2.83","B 3.29","1396","1350","39","3432","478539"
"6843","Gordon Midolo","AU","Region 1","Australia/NZ","75","3","8","7","44","8","13","2007","55","2.59","B 4.31","1396","1185","40","3265","482927"
"6844","Travis Spotts","US","Region 4","Pennsylvania","31","0","8","7","42","4","13","730","0","3.1","B 2.36","1396","1216","2","1288","489290"
"6845","Larry Bell2","US","Region 3","Texas","120","3","9","7","38","11","14","3306","110","3.18","A 1.53","1396","1234","128","4591","496148"
"6846","Trevor Klaus","US","Region 6","Michigan","1","0","5","4","61","0","12","30","0","0","A 2.50","1395","1350","2","61","49665"
"6847","Terry Wyatt","US","Region 3","Georgia","3","0","9","6","46","0","13","70","0","0.67","A 2.45","1395","1350","9","139","94454"
"6848","Steven Mastro","US","Region 1","New York","6","0","10","8","46","1","15","173","0","6","B 2.28","1395","1350","44","277","98666"
"6849","Eric Hall4","US","N/A","Atlantic","3","0","9","7","49","0","15","101","0","2","B 2.35","1395","1350","14","146","199055"
"6850","Eugene Clark","US","Region 6","Michigan","1","0","2","4","61","0","12","20","0","0","A 3.48","1395","1183","0","61","247648"
"6851","Nathan Pyles","US","Region 2","Ohio","3","0","8","6","47","1","14","92","0","4.67","B 2.17","1395","1350","3","142","273415"
"6852","Dylan Goudy","US","Region 4","Indiana","8","0","6","6","42","1","12","155","0","2","B 2.42","1395","1350","5","335","286424"
"6853","Richard Swavely4","US","Region 4","Northwest","278","15","6","7","41","37","12","7366","564","2.4","A 1.52","1395","1350","872","11318","312730"
"6854","Austin Clark2","US","Region 4","Pennsylvania","83","6","7","7","33","15","12","1534","151","2.53","B 2.75","1395","1350","156","2712","330902"
"6855","Nathan Bosma","CA","Region 2","Canada","60","0","7","6","36","12","12","1349","0","2.77","B 2.55","1395","1180","100","2155","432184"
"6856","Robert Kelm","US","Region 3","Texas","59","1","8","7","38","8","13","1529","28","3.29","B 2.91","1395","1350","95","2238","438213"
"6857","Chris Tripp2","CA","Region 2","Canada","31","1","8","7","41","4","13","768","8","1.74","B 3.46","1395","1350","25","1276","448869"
"6858","Kyle Stevens","AU","Region 1","Australia/NZ","10","0","6","6","49","3","11","290","36","3.8","A 2.23","1394","1350","6","492","16685"
"6859","Terry Belanger","US","N/A","Carolina","58","2","7","7","41","8","13","1533","80","2.69","A 2.98","1394","1190","88","2406","78598"
"6860","Ted Grow","US","N/A","Pennsylvania","26","1","8","7","41","5","14","832","36","3.77","B 3.45","1394","1350","42","1054","104398"
"6861","Dan West Jr","US","Region 4","Northwest","88","15","7","7","34","26","13","1858","382","2.39","A 2.17","1394","1350","463","2976","280823"
"6862","Shawn Scott","US","Region 4","Great Plains","194","11","6","6","30","23","12","4059","219","2.79","B 2.86","1394","1350","124","5856","331787"
"6863","Garrett Meister","US","Region 3","Midwest","26","3","6","6","40","5","11","538","58","2.62","B 2.28","1394","1350","15","1043","370511"
"6864","Ashley Tyson","AU","Region 1","Australia/NZ","32","2","7","6","40","2","10","751","53","2.63","B 2.42","1394","1194","17","1288","391413"
"6865","Christopher Audsley","US","Region 4","Great Plains","60","1","7","7","37","8","12","1397","40","3.27","B 2.62","1394","1098","26","2242","468377"
"6866","Clint Cauley2","US","Region 1","Mid-South","81","8","6","7","48","22","13","1707","196","2.84","B 3.23","1394","1150","98","3855","504573"
"6867","Scott Griffiths","AU","Region 1","Australia/NZ","23","0","8","7","48","5","14","574","8","4.35","B 2.27","1393","1208","14","1109","16366"
"6868","Jim Reed","US","Region 4","Pennsylvania","2","0","9","6","50","0","13","40","0","0","B 2.24","1393","1350","0","100","37649"
"6869","Brandon Buie","US","Region 5","Atlantic","3","1","8","8","50","1","13","88","25","1.33","A 2.47","1393","1350","10","149","56846"
"6870","Benoit Degaret","FR","N/A","France","52","1","6","7","38","8","12","1276","92","3.77","B 2.30","1393","1171","441","1982","191797"
"6871","Jason Mullis","US","Region 1","Carolina","62","2","9","8","41","8","14","1581","65","2.58","A 4.99","1393","1439","44","2572","223093"
"6872","Ralph Boyd","US","Region 4","Pennsylvania","1526","33","8","7","33","192","13","39104","1016","3.47","A 2.21","1393","1251","1086","50442","271911"
"6873","Vincent Halle","DE","N/A","UK and I","2","0","7","4","50","0","8","61","0","3","B 2.16","1393","1350","20","100","285169"
"6874","Daryl Furseth","US","Region 3","Midwest","196","13","7","7","33","37","12","3956","436","2.74","A 1.29","1393","1350","749","6388","327544"
"6875","Brandon Maxwell","US","Region 4","Pennsylvania","204","9","7","7","30","40","13","4099","155","3.06","B 2.30","1393","1173","139","6152","387726"
"6876","Scott Herwitt","US","Region 4","Pennsylvania","138","9","6","7","33","34","12","3070","311","2.7","B 3.08","1393","1214","85","4594","490197"
"6877","Jack Anderson7","US","Region 4","Great Plains","88","0","9","7","42","6","12","2512","31","3.66","B 3.43","1393","1350","112","3680","500645"
"6878","Matthew Guisti","US","Region 3","Texas","45","1","8","7","41","5","13","1007","6","2.18","B 3.48","1393","1187","32","1823","511862"
"6879","Jonathan Holstein","US","Region 2","Virginias","49","2","7","7","39","10","13","1423","71","3.8","B 2.58","1392","1350","110","1904","60759"
"6880","JB Hudson","US","Region 1","Carolina","64","1","7","7","37","14","13","1606","127","3.69","B 2.60","1392","1205","58","2346","164398"
"6881","Anthony Fike","US","Region 5","Illinois","253","34","7","7","37","66","12","4972","957","3.09","B 1.50","1392","1150","588","9274","277453"
"6882","James Nolan4","GB","Region 3","UK and I","25","1","8","6","40","4","11","568","3","2.8","B 2.56","1392","1181","127","996","320405"
"6883","Corey Leonard","US","Region 1","New York","41","0","7","6","39","2","11","950","7","2.2","B 2.93","1392","1187","70","1610","395957"
"6884","Stephen Grabowski","US","Region 4","Pennsylvania","40","3","8","7","35","10","13","987","28","3.75","B 2.27","1392","1350","7","1400","401554"
"6885","Joseph VanNatter2","US","Region 6","Michigan","49","3","5","7","41","14","12","980","96","2.2","B 3.54","1392","1350","48","2014","410914"
"6886","Aaron Conkey","US","Region 3","West","48","2","6","7","38","10","12","1178","121","2.5","B 3.34","1392","1155","60","1827","432238"
"6887","Andrew Austin2","US","Region 3","Midwest","97","2","7","7","31","19","13","2328","106","3.03","B 3.22","1392","1350","18","3016","441177"
"6888","Bryson Dion","US","Region 5","Illinois","106","7","7","6","35","21","12","2410","219","2.66","B 3.53","1392","1258","45","3730","473712"
"6889","Don Merpaw","CA","Region 2","Canada","4","0","5","5","46","0","10","120","0","1.5","A 4.43","1391","1417","7","184","15890"
"6890","Kenneth Askew","US","Region 4","Pennsylvania","3","0","4","2","48","2","9","76","0","4","A 3.04","1391","1350","2","143","66019"
"6891","Allan Young","US","N/A","New England","33","0","9","8","44","2","14","1057","13","2.36","A 2.55","1391","1258","183","1465","78494"
"6892","Joe McDonald","US","N/A","California Club","3","0","7","6","47","1","13","59","0","2","A 2.79","1391","1350","0","142","206659"
"6893","Kyle Johnson4","US","Region 3","Midwest","316","25","6","7","32","70","12","6521","935","3.8","A 2.48","1391","1350","297","9979","287837"
"6894","Brice Kenyon","NZ","Region 1","Australia/NZ","166","10","8","7","36","19","11","3959","245","3.12","A 2.22","1391","1263","339","5937","292107"
"6895","Zach Rodriguez","US","Region 3","West","135","6","8","8","32","21","13","3031","293","3.51","B 1.46","1391","1207","550","4264","294188"
"6896","Josh Wagner","US","Region 4","Pennsylvania","59","3","7","7","39","12","13","1505","129","3.8","B 2.50","1391","1275","48","2322","304002"
"6897","Patrick Meuche2","US","Region 3","Texas","31","2","7","6","34","7","12","738","20","3.74","B 2.44","1391","1183","14","1057","390528"
"6898","CJ Lowder","US","Region 5","Illinois","133","5","8","7","41","21","13","3886","226","2.47","A 2.39","1391","1238","345","5431","413551"
"6899","Dustin Smith11","US","Region 4","Indiana","163","3","9","7","38","25","14","4450","64","3.34","A 1.85","1391","1182","553","6222","458211"
"6900","Jordyn Hardesty","CA","Region 2","Canada","14","0","8","7","42","2","13","386","11","2.14","B 3.43","1391","1279","11","589","468149"
"6901","Shawn Breitzman","US","Region 4","Northwest","6","1","5","6","42","2","12","97","22","3.33","B 2.31","1390","1350","1","251","16324"
"6902","Bryan Boris Cook","US","Region 1","Carolina","9","0","7","7","44","1","14","298","4","4.22","B 2.25","1390","1350","15","394","51272"
"6903","Chris Christiano","US","N/A","West","207","49","5","5","52","77","11","4457","1438","2.3","B 2.51","1390","1350","369","10839","261617"
"6904","Zachary Gee","US","Region 4","Northwest","108","12","6","7","43","21","12","2358","251","2.72","B 2.37","1390","1350","269","4642","337118"
"6905","Braxton DeWeese","US","Region 2","Ohio","124","19","6","7","40","34","13","2675","512","3.26","B 2.68","1390","1350","226","5009","347295"
"6906","Steve Moore","US","Region 4","Great Plains","139","5","9","8","40","23","15","3658","102","4.56","B 2.25","1389","1350","147","5551","16649"
"6907","Joshua Borje-Bonkowski","US","N/A","West","276","6","8","8","37","25","13","7522","217","4.4","B 2.70","1389","1350","655","10161","135319"
"6908","Kenneth Mordecai","US","N/A","Mid-South","2","0","9","6","50","0","12","73","0","1","A 2.23","1389","1350","0","100","174462"
"6909","Blake Pryor","US","Region 1","Carolina","159","8","7","7","47","35","13","3758","238","2.43","A 1.33","1389","1199","195","7470","254832"
"6910","Kyle Mallett","US","Region 3","Midwest","30","1","9","7","40","3","13","775","18","2.93","B 2.47","1389","1201","17","1185","315104"
"6911","Hiroyuki Ashina","JP","Region 7","Japan","105","5","6","5","41","15","10","2027","63","2.23","B 3.54","1389","1142","464","4329","342540"
"6912","Levern Cooper","US","Region 4","Northwest","689","27","7","7","35","114","13","17719","763","4.99","B 2.87","1389","1235","408","23854","435310"
"6913","Rob Waechter Jr","US","Region 3","Midwest","38","4","7","7","44","8","13","905","106","3.05","B 2.60","1389","1350","9","1684","452400"
"6914","Gary V Mincoff","US","Region 3","Midwest","196","3","7","7","32","36","13","4431","95","3.6","B 2.01","1389","1350","24","6257","479685"
"6915","Timothy Dlugas","US","Region 4","Pennsylvania","51","1","7","7","41","11","13","1396","57","2.2","A 3.02","1389","1208","14","2091","512501"
"6916","Tim Pinion","US","Region 2","Virginias","24","1","8","7","41","4","14","608","64","2.67","B 2.62","1388","1241","83","973","18890"
"6917","Ben Bailey","CA","Region 2","Canada","21","1","7","6","40","2","12","581","19","1.71","B 3.61","1388","1142","57","842","33091"
"6918","Arne Stops","DE","N/A","DE-AT-CH","5","0","10","10","61","1","19","140","0","2.4","A 3.51","1388","1350","86","305","136419"
"6919","James Smith29","US","Region 5","Illinois","200","7","5","6","38","23","11","5163","274","1.84","B 4.17","1388","1350","150","7535","295718"
