"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","JD Brown","1445","0","California Club","US","6896","2","44","46","734","30","42","1","8","1373","22","2","253462"
"2","Matthew Everts","1315","0","Midwest","US","4403","3","16","18","108","5","30","1","8","510","3","3","307704"
"3","Blake Matjoulis","1296","0","New York","US","9343","1","56","57","1299","43","64","1","8","1710","35","2","273418"
"4","Hayden Cardwell","1264","0","Mid-South","US","7324","2","32","34","540","19","66","2","7","1000","20","2","273744"
"5","Brycen Daffern","1257","0","Texas","US","5321","3","50","61","585","18","166","1","8","1763","17","3","210596"
"6","Jeremy Capron","1244","0","Midwest","US","5879","2","21","22","317","11","22","1","8","648","10","2","150541"
"7","Austin Matthews4","1235","0","Great Plains","US","5809","3","22","25","263","9","36","1","8","742","8","3","275289"
"8","Blake Garrett","1204","0","Indiana","US","4171","3","63","72","379","13","148","1","8","2089","15","4","324589"
"9","Lucas Chowning","1186","0","Mid-South","US","6064","3","19","20","120","5","20","1","8","594","4","4","176074"
"10","Dustin Hall3","1059","0","Great Plains","US","4361","4","65","88","147","5","198","2","8","2562","5","5","320571"
"11","Charles Cosper","1046","0","Texas","US","6038","2","13","13","209","7","8","1","8","390","7","2","20867"
"12","Scott Burris2","998","0","Midwest","US","4251","3","25","26","265","8","38","1","8","754","8","3","259472"
"13","Greg Throne2","956","0","Illinois","US","5516","4","22","28","63","2","40","2","8","779","2","4","239790"
"14","Mike Molnar","954","0","Great Plains","US","4186","3","17","20","117","4","24","1","8","570","4","4","77867"
"15","Cole Harvey","950","0","Pennsylvania","US","5887","4","31","39","291","7","42","1","8","1095","10","3","314859"
"16","David Sutton2","945","0","Northwest","US","4339","5","10","18","30","1","48","1","8","509","1","5","255146"
"17","Greg Thompson2","933","0","Ohio","US","2994","4","45","60","236","8","102","3","8","1702","7","4","268551"
"18","Alex Smolders","921","0","Canada","CA","5547","3","24","28","143","5","26","2","8","815","4","3","306417"
"19","Howard Weaver","912","0","Mid-South","US","7303","1","14","14","351","12","10","1","6","419","11","1","89416"
"20","Jesse Isadore","908","0","Pennsylvania","US","3156","4","23","32","59","3","78","2","8","943","3","4","299900"
"21","William Dahl","888","0","Great Plains","US","2678","4","30","42","101","4","114","2","8","1257","2","5","236303"
"22","Adam Peter","863","0","Illinois","US","4681","3","10","10","45","1","12","1","8","300","3","2","17777"
"23","Austin Moore3","852","0","Mid-South","US","4537","4","46","67","334","10","118","3","8","1908","15","4","297512"
"24","Petteri Kotovaara","845","0","Finland","FI","5151","3","25","29","170","6","66","2","8","839","5","3","31811"
"25","Jordan Fisher","843","0","Midwest","US","2467","5","11","18","69","3","42","3","8","509","1","5","333430"
"26","Dave Hartman","839","0","Michigan","US","2674","3","10","11","34","1","18","3","8","330","1","3","298790"
