"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Brycen Daffern","1305","0","Texas","US","5321","3","65","76","761","22","166","1","8","2230","14","4","210596"
"2","Austin Matthews4","1251","0","Great Plains","US","5809","2","38","41","550","18","44","1","8","1254","16","2","275289"
"3","Blake Garrett","1237","0","Indiana","US","4171","3","24","28","218","10","56","1","8","849","7","3","324589"
"4","Chris Beck2","1231","0","Mid-South","US","5063","3","20","25","143","6","64","1","8","744","4","4","347873"
"5","Austin Moore3","1161","0","Mid-South","US","4537","3","58","73","880","31","164","2","8","2130","26","3","297512"
"6","Hayden Cardwell","1130","0","Mid-South","US","7324","3","20","27","426","11","98","1","7","772","20","2","273744"
"7","Jeremy Capron","1130","0","Midwest","US","5879","3","12","14","134","5","16","1","8","424","3","3","150541"
"8","Dustin Hall3","1092","0","Great Plains","US","4361","4","61","77","329","10","178","1","8","2317","9","4","320571"
"9","Mike Molnar","1083","0","Great Plains","US","4186","3","13","15","36","2","40","1","8","461","3","3","77867"
"10","Greg Throne2","1069","0","Illinois","US","5516","4","20","25","54","1","68","2","8","708","2","5","239790"
"11","Jed Barton","1064","0","Indiana","US","3222","4","25","34","222","5","62","3","8","1030","8","3","301278"
"12","Tyler Schell","1053","0","Pennsylvania","US","7586","2","12","13","150","8","36","1","8","394","2","3","287779"
"13","Ryan Gauntt","1018","0","Great Plains","US","3360","4","34","44","236","9","88","3","8","1307","6","4","233026"
"14","Cameron J Evans","990","0","Carolina","US","3064","2","14","15","219","6","28","3","8","458","5","2","331463"
"15","Benji Killian","979","0","Texas","US","4359","4","31","45","290","7","102","2","8","1261","13","3","341750"
"16","Josh Vinci","979","0","Ohio","US","2715","6","13","26","98","3","54","3","8","713","3","5","263898"
"17","Adam Peter","968","0","Illinois","US","4681","2","13","13","145","4","18","1","8","405","5","3","17777"
"18","Derek Fedkenheuer","947","0","Midwest","US","3783","5","17","26","46","2","44","2","8","666","2","4","288923"
"19","Steve Krumrei","937","0","Florida","US","3209","4","48","62","216","8","148","3","8","1880","7","4","47337"
"20","Blake L Brown","935","0","Midwest","US","5333","4","6","8","59","2","12","1","8","245","2","6","302504"
"21","Coleson Phelps","933","0","Midwest","US","4280","4","15","18","121","3","38","3","8","589","4","4","314910"
"22","Jason Mynatt","920","0","Illinois","US","4628","2","11","12","178","6","20","1","8","380","5","3","294467"
"23","Joshua Hesson","919","0","Indiana","US","4695","3","22","27","184","6","54","2","8","813","6","3","346292"
"24","Kyle Sirratt","891","0","Illinois","US","4079","4","15","17","142","3","32","2","8","515","5","3","333862"
"25","Rocky Battenfield","881","0","Great Plains","US","5858","4","9","12","10","0","30","1","8","348","1","4","64463"
"26","Jesse Isadore","852","0","Pennsylvania","US","3156","4","14","20","129","5","56","1","8","653","5","4","299900"
"27","Shane James3","852","0","Indiana","US","6281","3","12","13","180","4","16","1","7","391","8","2","270384"
"28","Petteri Kotovaara","840","0","Finland","FI","5151","3","14","15","91","3","40","2","8","475","5","3","31811"
"29","Zach Jenkins","822","0","Mid-South","US","3501","4","12","17","40","1","28","3","8","469","1","5","310003"
"30","Daniel Satriano","810","0","Great Plains","US","3616","5","12","20","38","1","20","2","8","606","2","5","273593"
"31","Travis Krumrei","808","0","Midwest","US","2666","5","22","34","75","1","78","3","8","997","2","6","131742"
"32","Austin Mistler","806","0","Florida","US","4156","5","28","42","75","2","54","2","8","1278","3","5","187474"
"33","Clay Debban","798","0","Northwest","US","4642","3","10","13","211","7","4","1","7","407","6","3","272597"
"34","Garrett Robinson","792","0","Georgia","US","5263","3","16","17","168","5","44","1","7","535","6","4","240326"
"35","Aaron Brumbeloe","783","0","Mid-South","US","4166","5","12","21","41","0","52","3","8","663","1","6","350776"
"36","David Lam","758","0","Virginias","US","4827","2","19","19","116","4","26","1","6","595","2","3","83682"
"37","JD Brown","757","0","California Club","US","6896","3","6","7","131","5","8","1","5","220","4","2","253462"
"38","Jacob Fields","755","0","Indiana","US","5992","2","9","9","104","5","6","1","5","280","3","2","248798"
"39","Wesley White","754","0","Mid-South","US","2495","6","15","26","9","1","60","3","8","664","0","6","276575"
"40","Charles Silvis","750","0","Pennsylvania","US","1843","4","12","18","73","3","42","3","8","476","4","4","225483"
"41","Donovan Werner","740","0","Illinois","US","1406","5","30","53","42","2","116","3","8","1289","1","6","296108"
"42","Kayne Hills","720","0","Georgia","US","2266","6","21","46","41","2","136","4","8","1261","0","5","41072"
"43","William Dahl","719","0","Great Plains","US","2678","5","12","20","30","1","48","2","8","565","1","6","236303"
"44","Blake Matjoulis","714","0","New York","US","9343","2","15","16","436","14","14","1","5","464","12","1","273418"
"45","Tommy Bush","708","0","Northwest","US","4807","5","19","30","0","0","88","3","8","841","1","5","306311"
"46","Paul Krumrei","698","0","Midwest","US","1936","5","13","24","42","1","66","5","8","754","1","6","105753"
"47","Justin Sick","686","0","New York","US","4352","7","19","44","69","2","82","4","8","988","3","6","325450"
"48","Mason Crawford","685","0","Texas","US","5500","2","28","30","525","18","24","3","5","871","18","2","269138"
"49","Rick Gibson","682","0","Florida","US","3629","5","11","15","18","1","28","2","7","420","0","7","280045"
"50","Benjamin Nading","665","0","Midwest","US","3407","7","7","14","46","1","36","2","7","303","2","6","268671"
"51","Nicolas Yaskiw","651","0","Canada","CA","3259","6","22","45","35","1","124","3","8","1241","1","6","311776"
"52","Wesley Gwaltney","646","0","Mid-South","US","4877","4","11","16","124","5","38","2","7","490","4","4","309768"
"53","Grant Ryals","644","0","Florida","US","5414","5","7","10","61","2","28","4","6","259","4","4","196824"
"54","Ty Garl","643","0","Pennsylvania","US","5195","5","11","19","13","0","28","2","8","572","1","6","338937"
"55","Brandon Schmidt","641","0","Midwest","US","6383","2","23","23","365","16","38","1","4","695","11","3","42361"
"56","Howard Barlow","640","0","New York","US","3083","5","12","20","81","1","46","2","7","597","3","4","270966"
"57","Neil Adamzak","640","0","Midwest","US","3548","4","8","10","0","0","24","2","7","296","0","6","63540"
"58","Peter Coberley","626","0","California Club","US","2044","6","16","28","30","1","70","3","8","782","1","6","207352"
"59","Tim Knott","614","0","Texas","US","2219","5","7","13","65","2","24","4","8","413","2","5","129510"
"60","Al Balducci","605","0","New York","US","4997","5","15","23","33","0","38","3","8","581","0","4","251703"
"61","James Rotruck","603","0","Atlantic","US","3786","7","10","21","70","2","40","2","8","626","2","5","254321"
"62","Scott Burris2","596","0","Midwest","US","4251","2","7","8","155","6","4","1","4","245","5","2","259472"
"63","Lance Bracewell","592","0","Georgia","US","2688","6","10","23","23","0","34","2","8","685","1","6","293507"
"64","Matthew Everts","591","0","Midwest","US","4403","5","7","9","49","0","12","1","6","242","1","4","307704"
"65","Daren Friedman","588","0","Illinois","US","4271","3","7","8","68","3","22","2","5","220","2","3","270576"
"66","Shad Prescott","585","0","Great Plains","US","5630","2","7","7","122","5","16","1","3","230","3","3","310694"
"67","Carl Sundberg","580","0","Scandinavia","SE","2442","6","13","28","1","0","38","3","8","851","1","6","15271"
"68","Bryan Root","579","0","Great Plains","US","3242","6","10","18","0","0","44","3","8","530","1","6","303501"
"69","Travis Card","571","0","Mid-South","US","5254","5","8","13","72","2","22","3","8","301","3","4","90577"
"70","Trevor Throne","567","0","Illinois","US","6727","7","6","12","54","3","46","2","8","285","1","6","239931"
"71","Jordan Casey","565","0","Midwest","US","7146","1","8","8","172","6","10","1","4","250","4","2","333265"
"72","Bryce Weldon","560","0","Great Plains","US","1829","4","10","14","84","4","46","3","7","369","2","5","268778"
"73","Bricen James","558","0","Northwest","US","2329","5","11","16","167","5","30","4","8","398","7","3","244456"
"74","Coty Slawson","548","0","California Club","US","5372","6","15","30","34","1","72","6","8","806","1","6","365345"
"75","Phillip Wilson","547","0","Carolina","US","3116","5","13","20","51","2","66","4","8","535","2","4","310934"
"76","Cole Sink","546","0","Indiana","US","2656","4","9","12","30","1","38","3","6","335","1","6","306119"
"77","Jim Chisholm","538","0","Midwest","US","3129","2","5","5","81","2","8","2","5","160","3","2","327526"
"78","Tyler Hargrove","532","0","Mid-South","US","4683","5","5","7","0","0","22","1","5","215","0","6","303800"
"79","Cory Deal","531","0","Carolina","US","1900","6","8","20","0","0","44","3","8","595","0","7","119855"
"80","Jason Hoek","531","0","Australia/NZ","AU","1861","5","17","32","114","2","90","5","8","900","5","4","142148"
"81","Jesse Carr","526","0","Great Plains","US","2981","4","8","10","35","1","34","1","5","295","0","7","231510"
"82","Dylan Williams","521","0","Midwest","US","1618","6","8","19","94","2","50","2","8","445","2","6","268167"
"83","Peter Wytaske","520","0","Midwest","US","1393","7","17","59","50","1","174","4","8","1416","1","6","267483"
"84","Brad Pease","520","0","Pennsylvania","US","2106","5","8","13","19","2","18","4","8","349","0","7","316312"
"85","Colby Fett","516","0","Midwest","US","2695","6","5","10","68","2","18","3","7","276","2","5","186317"
"86","Brent Moore2","514","0","Mid-South","US","918","6","13","24","72","2","56","11","8","611","3","5","354185"
"87","Kyle Urbanik","503","0","Midwest","US","1935","7","6","26","2","0","66","4","8","541","1","8","117291"
"88","Cody Cantonwine2","487","0","West","US","1686","5","8","13","64","1","22","3","6","367","2","6","354453"
"89","Evan Seay","483","0","Carolina","US","8887","4","6","10","93","2","18","1","4","237","4","3","330143"
"90","Jay Place","480","0","Carolina","US","6306","5","8","15","79","3","38","2","5","350","3","5","172417"
"91","Andrew R Johnson","479","0","Midwest","US","2110","5","14","22","117","4","34","5","6","565","3","5","307210"
"92","Kelly Ramsdell","478","0","Mid-South","US","1016","7","14","42","105","3","106","7","8","954","2","6","347209"
"93","Matt S Sanders","472","0","Northwest","US","4567","3","10","10","62","2","20","2","5","311","3","4","349924"
"94","Charles Barnes2","471","0","Mid-South","US","2654","7","6","16","45","1","40","3","7","418","3","7","302780"
"95","Daniel L Powell","471","0","Mid-South","US","4306","4","8","11","57","2","26","2","5","332","2","4","324708"
"96","Max Mosher","469","0","Midwest","US","3028","7","25","80","75","2","172","7","8","2172","2","7","186614"
"97","Javin Coleman","464","0","Illinois","US","1610","5","6","15","83","2","38","3","8","391","2","5","267365"
"98","Brian Thompson7","461","0","Northwest","US","1018","6","11","20","55","1","52","7","7","455","3","5","359752"
"99","Greg Thompson2","460","0","Ohio","US","2994","4","6","8","37","2","16","2","4","234","1","4","268551"
"100","Cline Everhart","447","0","Mid-South","US","4242","4","9","13","92","3","24","3","6","343","3","4","89688"
"101","Cory Whitworth","447","0","Great Plains","US","3980","4","4","5","50","2","8","2","4","130","1","3","267824"
"102","Dylonn Fox","445","0","Midwest","US","5049","2","5","5","52","2","4","2","3","160","1","4","236023"
"103","Ryan A Underwwod","444","0","Carolina","US","5570","6","7","14","30","1","28","4","7","259","1","7","281939"
"104","Adam Heili","444","0","Midwest","US","1819","7","4","9","30","1","16","3","8","240","1","5","28148"
"105","Jeffrey Lanham","444","0","Ohio","US","2636","5","8","14","1","0","32","3","7","420","0","5","271969"
"106","Adam Crapser","443","0","Midwest","US","2151","7","6","22","0","0","54","3","8","607","0","6","125575"
"107","Payton Bright","432","0","Mid-South","US","2212","6","5","13","59","2","44","2","6","321","2","6","221777"
"108","Greg Simmons","431","0","Midwest","US","1700","7","8","21","1","0","86","4","8","573","1","7","349909"
"109","Dylan R. Houser","430","0","Florida","US","7680","3","6","7","90","4","8","1","4","183","3","3","268611"
"110","Tim Christianson","425","0","Midwest","US","3577","2","4","4","50","1","10","3","4","125","1","4","305925"
"111","Khaled Graham","421","0","Great Plains","US","3698","4","7","9","0","0","16","2","5","270","0","4","268687"
"112","Chris Brown14","413","0","Indiana","US","3449","6","6","11","0","0","18","3","6","317","0","6","249288"
"113","Sam Derrico","405","0","Australia/NZ","AU","1418","6","7","13","0","0","34","6","8","372","0","8","308961"
"114","Travis Miller3","404","0","Ohio","US","1856","6","7","16","64","2","34","4","8","365","3","6","277810"
"115","Kyler Bruce","401","0","Michigan","US","3105","6","8","14","7","1","34","5","8","355","0","6","302373"
"116","Tyler Horman","401","0","Midwest","US","1602","6","6","13","31","1","50","3","7","351","1","7","336776"
"117","Gilles Chatelain","401","0","DE-AT-CH","CH","2503","6","3","8","0","0","32","3","8","253","0","7","281042"
"118","Scott Dunlap","398","0","Pennsylvania","US","1789","6","7","15","27","1","22","4","8","426","0","6","19908"
"119","Donovan Graham","396","0","Great Plains","US","3113","4","8","11","34","2","20","5","6","328","1","5","296936"
"120","Andrew Towne2","396","0","Northwest","US","1808","5","7","9","0","0","22","3","6","273","0","4","243526"
"121","Brad Nichols","392","0","Indiana","US","3452","5","6","9","0","0","30","2","5","261","0","5","255299"
"122","David Sutton2","390","0","Northwest","US","4339","3","14","18","293","10","16","1","3","557","9","2","255146"
"123","andrew Hawkins2","390","0","Illinois","US","3058","8","5","17","0","0","18","3","7","437","0","7","340348"
"124","Adam Liechty","388","0","Mid-South","US","2039","7","3","9","1","0","22","2","4","184","0","5","319524"
"125","Kevin Swank","387","0","Midwest","US","2430","7","11","23","0","0","74","4","7","588","0","6","330068"
"126","Tyler Bolling3","385","0","Indiana","US","3294","5","6","14","0","0","38","3","5","413","0","6","207230"
"127","Pete Kiley","384","0","Midwest","US","1457","9","6","34","0","0","52","3","8","579","0","8","346930"
"128","Andrew Stotler","384","0","Pennsylvania","US","1903","7","5","13","0","0","28","4","8","298","0","7","356028"
"129","Dave Slade","383","0","Pennsylvania","US","3643","6","3","7","3","0","18","2","5","220","0","7","22792"
"130","Zachery DeLonge","382","0","Michigan","US","3308","3","6","7","81","2","10","4","5","210","2","2","349429"
"131","Robert Fletcher3","378","0","Mid-South","US","4882","7","2","9","0","0","20","2","4","290","0","8","342161"
"132","Alec Fett","377","0","Midwest","US","2493","6","6","16","63","2","50","4","6","440","2","6","286826"
"133","Kyle Osentoski","377","0","Michigan","US","1264","7","4","11","0","0","52","3","6","264","0","7","305903"
"134","Howard Weaver","374","0","Mid-South","US","7303","2","3","3","52","1","8","1","3","90","2","2","89416"
"135","Jeremy Ogle","367","0","Indiana","US","2387","6","9","14","0","0","46","3","7","353","0","6","84294"
"136","Cody Howard","362","0","Mid-South","US","5991","5","6","9","37","1","18","1","4","227","3","3","340032"
"137","Zane Yost","356","0","Indiana","US","3437","4","3","4","0","0","18","1","3","120","0","5","276786"
"138","Donnie Shealy","354","0","Carolina","US","1934","7","3","7","86","1","8","2","6","180","3","4","269705"
"139","Howard T Barlow","349","0","New York","US","2805","4","8","9","60","2","32","2","4","270","2","3","294055"
"140","Daniel Cummings Jr","349","0","Michigan","US","5182","4","5","5","1","0","6","2","5","155","0","4","354587"
"141","Brian Weyandt Jr","345","0","Pennsylvania","US","5743","3","3","3","20","0","10","1","3","95","1","4","86801"
"142","Kacey Ryser","343","0","Great Plains","US","4245","8","4","18","0","0","42","6","7","426","1","7","345381"
"143","Shayne Frasur","341","0","Indiana","US","1338","6","10","21","0","0","56","7","8","502","0","7","318690"
"144","Sebastien Beaudry","340","0","Canada","CA","1435","6","3","8","0","0","28","4","8","233","0","9","70939"
"145","Tyler Kuder","339","0","Illinois","US","1932","7","5","14","0","0","26","3","8","370","0","7","301232"
"146","Mick Warde","339","0","Australia/NZ","AU","1362","6","3","9","0","0","20","4","8","255","0","7","295662"
"147","Donald Bryan2","337","0","Midwest","US","1508","8","3","14","0","0","32","4","8","350","0","8","311236"
"148","Brandon Nordstrom","330","0","Great Plains","US","2083","6","3","9","0","0","10","4","8","278","0","7","271884"
"149","Tom Varley","330","0","Canada","CA","2080","8","3","13","0","0","22","4","7","288","0","7","42527"
"150","George Fehrenbacher","328","0","Indiana","US","4059","4","4","4","0","0","10","2","4","125","0","7","254228"
"151","Josh Robertson2","328","0","Ohio","US","3287","7","2","7","9","0","34","2","4","222","0","8","269488"
"152","Brandon Franks","325","0","Indiana","US","2133","3","11","13","30","2","44","3","3","413","1","5","301482"
"153","Jeff Vernier","325","0","Illinois","US","2006","4","5","8","69","2","22","4","4","260","2","4","268813"
"154","Audie Ford","325","0","Mid-South","US","1166","6","4","9","23","1","24","6","7","256","1","7","290283"
"155","Chad Peterson","325","0","California Club","US","2746","6","2","5","12","1","12","1","5","127","1","5","15828"
"156","Tyler Walton2","324","0","Great Plains","US","3102","5","3","4","0","0","10","2","3","98","0","5","275383"
"157","Blake Near","322","0","Canada","CA","2821","4","9","12","88","2","44","2","4","391","3","4","234452"
"158","Aaron Paule","313","0","Illinois","US","4416","2","3","3","30","1","0","1","3","90","1","3","269611"
"159","Caleb Ramsey","308","0","Mid-South","US","3051","5","4","6","0","0","10","6","6","179","0","6","344394"
"160","Kevin Lajeunesse","307","0","Canada","CA","1833","5","3","5","0","0","14","5","4","160","0","7","268705"
"161","Brandon Pittman","306","0","Great Plains","US","2090","6","4","7","0","0","20","3","6","215","0","6","347308"
"162","Mike Rutherford","305","0","West","US","1505","8","3","18","0","0","54","5","8","390","0","7","50299"
"163","Nathan Puckett","304","0","Mid-South","US","1295","6","6","15","9","1","18","9","6","346","0","7","316288"
"164","Chris J Smith","304","0","Carolina","US","4101","6","2","4","0","0","8","2","4","90","0","7","245914"
"165","Latham Marek","303","0","Florida","US","2735","5","3","7","0","0","10","3","5","215","0","6","302976"
"166","Eric Burke","303","0","Georgia","US","2156","7","2","7","0","0","14","2","5","198","0","6","49986"
"167","Dean Slawson","302","0","Midwest","US","1437","6","6","14","0","0","24","6","6","417","0","7","89255"
"168","Brett Rowles","300","0","Mid-South","US","2259","7","2","5","0","0","2","3","4","110","0","7","324900"
"169","Hobson Mahan","298","0","Mid-South","US","2134","4","4","5","19","1","14","3","3","120","0","6","308892"
"170","Justin Thompson","296","0","Georgia","US","4930","5","3","5","0","0","14","1","2","150","0","5","18997"
"171","Antoine Prince","295","0","Canada","CA","2333","8","2","8","30","1","30","3","5","173","1","7","349812"
"172","Kyle White2","293","0","Michigan","US","2761","8","2","10","0","0","42","2","5","276","0","7","294676"
"173","James Robinson2","292","0","West","US","1331","7","7","25","0","0","64","7","6","747","0","7","44450"
"174","Kevin Wright","290","0","Virginias","US","2463","4","6","7","34","1","20","5","4","179","1","5","207125"
"175","Tasman Smith","288","0","Virginias","US","2364","5","4","6","6","1","26","2","4","158","0","7","258451"
"176","Lance Postell","287","0","Georgia","US","4314","7","2","6","0","0","30","1","5","140","0","7","306491"
