"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Trevor Fitz","1322","0","California Club","US","5050","2","32","33","765","24","58","2","8","1120","18","2","72978"
"2","Howard Weaver","1308","0","Mid-South","US","7303","1","38","38","1014","33","42","1","8","1330","22","2","89416"
"3","Lucas Chowning","1140","0","Mid-South","US","6064","3","29","32","263","5","88","1","8","1097","6","4","176074"
"4","Jeremy Capron","1125","0","Midwest","US","5879","2","24","24","392","10","26","1","8","839","11","2","150541"
"5","Dylan Wilson","1079","0","California Club","US","7603","1","16","16","435","12","14","1","7","560","11","2","67353"
"6","Jason Mynatt","1077","0","Illinois","US","4628","4","14","18","159","5","40","1","8","602","6","3","294467"
"7","Jason Salter","1055","0","Mid-South","US","5373","3","18","20","239","7","28","1","8","691","8","2","283110"
"8","Austen Semmelmann2","1034","0","Midwest","US","6343","1","13","13","330","10","6","1","8","455","10","1","269057"
"9","Scott Burris2","1022","0","Midwest","US","4251","3","42","46","725","20","36","2","8","1538","26","2","259472"
"10","Kile Vohringer","1022","0","Midwest","US","3563","4","11","13","150","4","18","2","8","429","4","4","271196"
"11","Mike Molnar","1003","0","Great Plains","US","4186","3","40","46","542","14","38","2","8","1537","15","3","77867"
"12","Clay Debban","983","0","Northwest","US","4642","4","49","61","558","13","84","1","8","2054","22","3","272597"
"13","Leodan Pina","956","0","Carolina","US","3685","4","12","16","137","5","16","2","8","511","3","3","285626"
"14","Craig Gullixson","938","0","Midwest","US","3350","3","15","19","93","4","40","3","8","665","1","4","252417"
"15","Mathew Emmerling","937","0","Carolina","US","5081","3","30","34","577","15","78","2","8","1177","22","2","109070"
"16","Blake L Brown","928","0","Midwest","US","5333","3","21","23","132","3","44","2","8","787","3","3","302504"
"17","Derek Dubree","923","0","Illinois","US","3274","3","17","17","201","4","34","2","8","588","7","2","288031"
"18","Austin Matthews4","910","0","Great Plains","US","5809","3","11","13","106","4","20","1","8","424","2","3","275289"
"19","EJ Jones","905","0","Texas","US","4206","3","15","19","65","1","20","2","8","664","3","3","296654"
"20","Taylor Brisighella","904","0","California Club","US","2414","5","40","58","152","5","128","3","8","1855","3","4","299137"
"21","Jimmy Emery2","887","0","Great Plains","US","4337","3","18","20","208","5","26","3","8","680","7","3","231228"
"22","Jacob Fields","882","0","Indiana","US","5992","2","17","19","274","11","34","1","8","637","8","3","248798"
"23","Roman Wesley","872","0","Mid-South","US","2587","5","19","30","93","3","132","2","8","1003","1","6","204954"
"24","Brian J. Antonio","869","0","Pennsylvania","US","3706","4","33","44","90","3","122","2","8","1427","1","5","216727"
"25","Brycen Daffern","867","0","Texas","US","5321","4","65","83","660","19","264","2","8","2675","12","4","210596"
"26","Alex Smolders","858","0","Canada","CA","5547","4","21","29","61","3","54","2","8","898","1","5","306417"
"27","Adam Peter","858","0","Illinois","US","4681","2","8","8","125","4","12","2","8","280","4","3","17777"
"28","David Sutton2","846","0","Northwest","US","4339","4","22","29","98","4","78","3","8","975","3","4","255146"
"29","Nick Daffern","838","0","West","US","3719","5","23","34","77","3","80","2","8","1052","4","4","307497"
"30","Matthew Everts","837","0","Midwest","US","4403","4","28","34","281","7","68","3","8","1137","5","4","307704"
"31","Tyler Hallum","830","0","Mid-South","US","2616","4","24","34","518","16","38","6","8","890","13","4","231025"
"32","Mario Teixeira","830","0","California Club","US","2642","4","7","11","26","2","52","3","8","385","0","5","216827"
"33","Jesse Isadore","801","0","Pennsylvania","US","3156","5","34","55","80","2","146","3","8","1739","2","6","299900"
"34","Keith Hackney","789","0","Georgia","US","4015","4","12","17","227","3","42","2","7","542","8","2","281243"
"35","Tyler Hargrove","785","0","Mid-South","US","4683","6","26","55","68","2","184","4","8","1688","4","5","303800"
"36","Christopher Geigle","769","0","Midwest","US","3583","6","13","26","0","0","62","2","8","874","0","7","304938"
"37","James Rotruck","747","0","Atlantic","US","3786","5","19","28","45","2","64","3","8","954","1","4","254321"
"38","Greg Throne2","738","0","Illinois","US","5516","4","15","19","0","0","34","2","8","625","0","5","239790"
"39","Eric Elmore","735","0","Ohio","US","3639","4","7","10","33","0","10","2","8","314","1","4","305943"
"40","Carl Young","730","0","Indiana","US","2637","5","20","35","145","3","96","3","8","972","7","6","304670"
"41","Tyler Walton2","730","0","Great Plains","US","3102","4","10","14","46","1","26","2","8","443","1","3","275383"
"42","William Dahl","728","0","Great Plains","US","2678","5","20","27","47","0","68","3","8","817","3","5","236303"
"43","Zak Rounds","725","0","Michigan","US","4538","3","13","16","246","4","10","1","6","518","9","2","268296"
"44","Nathan Sletto","714","0","Midwest","US","1496","4","22","30","150","5","90","4","8","973","3","4","292512"
"45","John Kennedy3","704","0","Illinois","US","2735","5","13","22","46","1","54","2","8","769","2","6","64016"
"46","Todd Hook","700","0","Great Plains","US","4132","4","15","22","99","4","60","3","8","680","2","5","270173"
"47","Eric Eichstadt","694","0","Midwest","US","2804","5","15","24","102","3","42","2","8","789","2","5","292091"
"48","Jacob Hall","691","0","Mid-South","US","3036","3","6","8","14","2","34","2","7","280","0","5","265365"
"49","Virgil Graham","686","0","Pennsylvania","US","5685","2","10","11","312","9","4","1","5","373","6","2","264174"
"50","Dustin Hall3","681","0","Great Plains","US","4361","6","50","101","144","5","326","5","8","3073","4","6","320571"
"51","Marc Molnar","669","0","Great Plains","US","3723","3","7","8","167","5","10","3","8","265","3","3","63232"
"52","Jared Mogard","651","0","Midwest","US","2686","4","10","12","68","2","26","2","7","420","1","3","85271"
"53","James Edens","645","0","California Club","US","7363","4","5","7","67","2","12","1","5","213","2","2","77711"
"54","Bryan Root","645","0","Great Plains","US","3242","5","17","26","6","0","74","3","8","838","1","5","303501"
"55","George Fehrenbacher","643","0","Indiana","US","4059","5","9","16","70","2","52","2","7","536","2","6","254228"
"56","DJ Kilanowski","643","0","Illinois","US","4088","2","7","8","127","4","24","2","5","280","3","3","301389"
"57","Peter Coberley","632","0","California Club","US","2044","6","15","28","0","0","72","3","8","914","0","7","207352"
"58","Scott Dunlap","632","0","Pennsylvania","US","1789","5","17","33","36","2","90","5","8","1019","1","6","19908"
"59","Justin Pruitt","617","0","Virginias","US","2481","5","8","11","0","0","28","2","8","362","0","6","301796"
"60","Josh Vangor","609","0","Pennsylvania","US","2208","6","17","34","31","1","88","5","8","1069","3","5","318384"
"61","Blake Garrett","609","0","Indiana","US","4171","6","23","42","26","2","100","3","8","1229","2","5","324589"
"62","Jarrett Murphy","599","0","Indiana","US","4448","5","7","11","109","3","16","2","7","254","4","5","270582"
"63","Richard Murtaugh Jr.","590","0","New York","US","6716","3","33","39","510","18","84","2","5","1249","12","3","238367"
"64","Jason M Stewart","588","0","Florida","US","1892","6","12","26","35","1","44","4","8","842","1","7","191532"
"65","Latham Marek","586","0","Florida","US","2735","5","11","25","36","1","58","4","8","638","1","5","302976"
"66","Cole Harvey","574","0","Pennsylvania","US","5887","5","10","16","68","2","24","3","7","489","4","3","314859"
"67","Jeffrey Sweitzer II","564","0","Pennsylvania","US","2122","5","16","30","62","4","64","5","8","978","2","5","319735"
"68","Ethan Stuckwisch","563","0","Illinois","US","2809","3","10","11","53","2","28","3","6","384","1","5","252196"
"69","Daren Friedman","556","0","Illinois","US","4271","3","15","20","322","8","20","8","8","649","10","3","270576"
"70","Michael E Clark","555","0","Mid-South","US","2781","2","6","6","124","4","8","3","5","210","2","2","280804"
"71","Matt Fizell","547","0","Midwest","US","1849","5","7","11","9","0","26","3","8","335","1","5","294416"
"72","Blake Lehman","547","0","Carolina","US","1771","6","6","10","0","0","18","3","8","315","0","6","303172"
"73","Michael Morris6","530","0","Northwest","US","5225","6","6","14","55","1","10","2","8","350","2","5","114710"
"74","Travis Miller3","521","0","Ohio","US","1856","6","20","46","12","1","128","4","8","1264","1","6","277810"
"75","Brad Pease","520","0","Pennsylvania","US","2106","5","9","18","62","1","28","6","8","533","3","4","316312"
"76","Wesley Gwaltney","506","0","Mid-South","US","4877","5","7","10","12","0","20","3","7","349","1","5","309768"
"77","Benjamin Burke","501","0","Great Plains","US","3098","6","14","26","105","3","58","6","8","727","3","5","318337"
"78","Rocky Battenfield","499","0","Great Plains","US","5858","6","8","15","23","0","36","2","7","405","2","6","64463"
"79","Dustin Leverknight","496","0","Pennsylvania","US","2745","7","5","12","24","0","24","3","8","285","1","5","306778"
"80","Ryan Toole2","492","0","Carolina","US","2193","6","14","41","44","1","140","4","8","1019","2","5","261564"
"81","Brandon Skinner","487","0","Illinois","US","2498","6","4","10","35","1","12","3","8","314","1","7","216140"
"82","Kyle Bethel","482","0","California Club","US","2073","5","10","20","33","2","50","3","7","662","2","5","39239"
"83","Michael Mulcahy2","480","0","Australia/NZ","AU","1752","6","20","35","10","0","34","5","8","1083","0","5","298801"
"84","Benjamin Nading","479","0","Midwest","US","3407","6","4","9","0","0","10","3","7","242","0","5","268671"
"85","Matthew Zumwalt","476","0","Midwest","US","1968","6","6","13","0","0","38","3","8","429","0","7","310476"
"86","Daniel Price","475","0","Mid-South","US","2216","7","19","55","3","0","132","7","8","1335","2","7","266616"
"87","Ted Engler","475","0","Midwest","US","1927","5","3","8","5","1","22","3","8","276","0","6","65510"
"88","Warren Samoy","473","0","Northwest","US","3377","6","8","20","1","0","38","4","8","658","0","7","297050"
"89","Dillon Crook","470","0","Carolina","US","3786","3","9","11","57","1","22","2","4","369","2","4","198551"
"90","Justin Thomas","459","0","Illinois","US","4065","6","4","6","15","0","18","2","5","196","1","5","18045"
"91","Chuck Shaer","455","0","Illinois","US","1112","6","16","36","0","0","52","5","8","1148","0","8","46631"
"92","Charles Silvis","455","0","Pennsylvania","US","1843","5","9","13","16","1","40","6","7","349","1","5","225483"
"93","Dan Shorter","454","0","Ohio","US","2420","6","7","18","35","1","22","3","8","563","2","6","53344"
"94","Jordan Wesley","453","0","Mid-South","US","4006","6","5","9","8","0","36","1","6","266","0","6","136849"
"95","Brett M Ladehoff","451","0","Midwest","US","5165","2","5","5","63","2","4","1","3","175","1","4","146364"
"96","Matthew Burroughs","445","0","Atlantic","US","1911","4","8","8","30","1","18","4","8","278","0","5","66798"
"97","Petie Madrid","444","0","Virginias","US","947","7","10","28","68","2","44","5","8","645","1","6","75100"
"98","Richard Spahr","444","0","Great Plains","US","3087","4","6","6","7","0","8","4","5","210","0","4","313728"
"99","Tyler P Anderson","443","0","Illinois","US","2302","6","12","24","17","0","42","6","8","737","3","5","275384"
"100","Aaron Paule","442","0","Illinois","US","4416","5","7","10","66","1","18","1","5","284","3","4","269611"
"101","Drew Phillips","438","0","Michigan","US","1893","3","6","7","35","1","16","4","6","238","1","5","287832"
"102","Michael Holder","430","0","West","US","2146","5","7","13","46","2","30","4","7","387","2","6","93035"
"103","Terry Wolfe2","428","0","Mid-South","US","5517","4","5","7","6","0","12","3","4","214","2","4","268726"
"104","Cole Spacek","421","0","Midwest","US","2490","5","13","18","57","3","40","3","7","507","1","6","302004"
"105","jordan Walker2","418","0","Midwest","US","1977","5","14","23","104","2","48","4","7","753","3","6","303202"
"106","Dylan R. Houser","417","0","Florida","US","7680","1","9","9","267","9","16","1","3","315","7","2","268611"
"107","Austin O'Neal","410","0","Great Plains","US","2351","4","7","8","0","0","14","3","5","254","0","5","238452"
"108","Johnnie Baptista","409","0","California Club","US","1717","7","7","23","2","0","32","4","8","646","0","7","271887"
"109","Johnny Broking","407","0","Midwest","US","4486","3","4","5","48","2","16","1","3","175","0","5","124848"
"110","Wesley White","406","0","Mid-South","US","2495","7","6","21","21","0","48","5","8","666","1","6","276575"
"111","Shad Prescott","403","0","Great Plains","US","5630","3","7","8","100","1","8","4","4","272","6","2","310694"
"112","Kyle Thompson","402","0","Midwest","US","1834","5","6","9","3","1","24","3","5","312","0","6","263674"
"113","Carl Sundberg","399","0","Scandinavia","SE","2442","6","11","20","0","0","10","4","8","664","0","7","15271"
"114","Jason George2","396","0","Northwest","US","1058","7","8","23","0","0","60","6","8","629","0","8","313977"
"115","Chris S Martin","394","0","Mid-South","US","3569","6","11","19","36","1","24","8","8","488","1","5","307179"
"116","Joshua Jewell","390","0","Ohio","US","3270","7","2","9","0","0","10","2","8","311","0","9","46872"
"117","Levi Schoenick","389","0","Midwest","US","2642","6","4","8","0","0","12","3","6","244","0","7","272163"
"118","Brandon Penegar","384","0","Great Plains","US","1897","6","5","11","19","0","18","4","6","251","1","6","146174"
"119","RJ Cline","383","0","Virginias","US","2698","6","7","14","15","1","48","3","8","378","0","7","266860"
"120","Hayden Cardwell","382","0","Mid-South","US","7324","1","4","4","93","3","4","3","3","140","3","2","273744"
"121","Josh Vinci","382","0","Ohio","US","2715","6","8","14","0","0","32","4","8","392","0","6","263898"
"122","Lyle Robinson","380","0","New York","US","1422","7","9","28","0","0","18","5","8","876","0","7","319934"
"123","Brett Springer","380","0","Great Plains","US","1721","5","6","8","36","0","18","3","5","217","2","4","292861"
"124","Neil Adamzak","378","0","Midwest","US","3548","5","3","5","1","0","14","2","3","175","0","7","63540"
"125","Bryson Hunt","377","0","Georgia","US","2062","5","6","9","49","2","6","4","6","283","1","5","293072"
"126","Dave Slade","376","0","Pennsylvania","US","3643","4","5","5","0","0","14","2","4","175","0","5","22792"
"127","Adam J Davis","376","0","Midwest","US","3249","7","3","10","1","0","36","2","4","290","0","6","245419"
"128","Kyle Miller","373","0","Northwest","US","3880","5","8","12","97","2","38","1","3","390","2","5","65170"
"129","Malachi Mathews","368","0","New York","US","1496","6","4","9","61","2","22","4","7","245","2","4","279370"
"130","Brian Bartle","365","0","Florida","US","1400","6","14","30","3","0","60","7","7","854","2","8","292325"
"131","Kurt Douglas","364","0","Great Plains","US","1859","6","5","8","11","0","20","3","6","237","0","6","274701"
"132","Eric Burke","362","0","Georgia","US","2156","7","1","11","0","0","16","3","7","337","0","6","49986"
"133","Kameron Key","361","0","Great Plains","US","3536","5","6","9","0","0","16","2","6","310","0","7","253254"
"134","Tyler Blankenship","359","0","Virginias","US","2310","7","4","12","23","1","40","3","8","298","1","7","291532"
"135","Jeffrey Barker","357","0","New York","US","2339","6","6","11","0","0","8","3","6","374","0","7","56557"
"136","Bailey Loftin","354","0","Carolina","US","1765","4","4","6","34","1","16","3","6","166","1","6","275756"
"137","Cole Lonergan","350","0","Midwest","US","2080","6","3","9","8","0","44","3","5","268","1","5","295490"
"138","Josh Harm","345","0","Australia/NZ","AU","4511","4","4","5","35","1","8","2","4","173","1","3","263800"
"139","Matthew Lewis","342","0","Carolina","US","1908","4","14","18","102","3","26","7","4","560","2","3","27201"
"140","Tyson Pankow","341","0","Illinois","US","4326","7","2","10","1","0","12","4","7","259","0","6","214179"
"141","Eric Tupper","340","0","Mid-South","US","3165","4","6","8","59","1","26","3","4","280","3","3","80065"
