"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Cole Harvey","1530","0","Pennsylvania","US","5887","1","22","22","491","14","10","1","9","683","16","1","314859"
"2","Braden Johnson","1487","0","Illinois","US","5647","4","26","32","192","7","118","1","9","960","1","5","350039"
"3","Joshua Hesson","1472","0","Indiana","US","4695","4","33","45","280","11","136","1","9","1296","7","4","346292"
"4","Rocky Battenfield","1422","0","Great Plains","US","5858","3","35","40","456","16","50","1","9","1214","14","4","64463"
"5","Ryan Harris3","1408","0","Texas","US","5020","3","34","39","311","10","34","2","9","1212","11","3","98556"
"6","Dustin Layman","1398","0","Great Plains","US","4443","3","27","33","286","10","48","1","9","1045","11","3","386547"
"7","Jarrett Murphy","1340","0","Indiana","US","4448","3","16","18","218","5","32","1","8","544","9","2","270582"
"8","Richard Murtaugh Jr.","1305","0","New York","US","6716","2","12","12","126","5","16","1","8","370","3","3","238367"
"9","Wesley Gwaltney","1264","0","Mid-South","US","4877","2","33","37","543","18","58","1","8","1134","16","2","309768"
"10","Matt Lunsford","1239","0","Texas","US","2928","6","39","74","291","13","226","2","9","2062","5","6","256343"
"11","Todd Hook","1233","0","Great Plains","US","4132","4","41","57","366","12","158","1","9","1736","8","5","270173"
"12","Chad Combs4","1227","0","Indiana","US","5819","3","26","30","373","13","12","1","8","929","12","3","373977"
"13","Jimmy Emery2","1221","0","Great Plains","US","4337","2","23","23","381","11","26","2","9","755","11","2","231228"
"14","Tyler Berry4","1208","0","Midwest","US","2923","5","21","33","97","6","98","2","9","949","2","6","491322"
"15","Ryan Green6","1195","0","Great Plains","US","3335","5","17","22","27","1","38","2","9","685","1","5","371066"
"16","Matthew Wawak","1186","0","Mid-South","US","2538","6","47","108","147","12","408","4","9","2989","1","8","482593"
"17","Coty Slawson","1184","0","California Club","US","5372","2","24","26","231","8","46","1","8","807","6","4","365345"
"18","Dion Kovar","1167","0","Great Plains","US","3620","4","27","34","213","7","68","2","9","965","7","4","291547"
"19","Jason Salter","1159","0","Mid-South","US","5373","1","8","8","160","6","2","1","8","248","5","1","283110"
"20","Austin Moore3","1148","0","Mid-South","US","4537","3","19","24","291","9","22","2","9","713","9","3","297512"
"21","Ryan Gierke","1146","0","Midwest","US","2814","3","9","12","126","5","22","3","9","350","2","3","323183"
"22","Michael Stenroos","1143","0","Midwest","US","3124","5","24","30","33","2","40","2","9","819","1","6","367519"
"23","Jacob Harris","1137","0","Mid-South","US","3726","5","15","19","41","2","64","2","9","502","1","5","230129"
"24","Brent D Carter","1135","0","Mid-South","US","3862","3","35","42","571","15","88","2","8","1267","27","2","374481"
"25","Ben W Lewis","1128","0","Midwest","US","2788","4","30","37","242","6","54","2","9","1094","9","4","418214"
"26","Barrett Bishop","1103","0","Carolina","US","6567","2","10","10","194","8","4","1","7","315","7","2","275393"
"27","Greg Throne2","1101","0","Illinois","US","5516","3","15","19","215","6","24","1","8","585","6","4","239790"
