"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Lucas Chowning","1235","0","Mid-South","US","6064","4","33","39","449","8","126","1","8","1463","9","4","176074"
"2","Jason Mynatt","1187","0","Illinois","US","4663","3","28","34","401","11","80","2","8","1243","8","3","294467"
"3","Howard Weaver","1176","0","Mid-South","US","7303","1","13","13","363","10","20","1","8","494","7","2","89416"
"4","Jeremy Capron","1147","0","Midwest","US","5879","2","18","20","351","10","46","1","8","757","6","4","150541"
"5","Justin Thomas","1068","0","Illinois","US","4065","4","15","18","159","5","54","2","8","669","3","4","18045"
"6","Jordan Wesley","1044","0","Mid-South","US","4037","4","20","23","195","6","102","1","8","852","3","4","136849"
"7","Nate Chodur","1042","0","Midwest","US","4803","3","69","77","1139","30","92","2","8","2865","26","3","51394"
"8","Johnny Broking","1034","0","Midwest","US","4486","4","29","38","413","12","114","2","8","1362","9","3","124848"
"9","Chris J Smith","1019","0","Carolina","US","4101","5","11","16","158","6","58","2","8","537","2","3","245914"
"10","Clay Debban","1007","0","Northwest","US","4642","4","56","69","1214","23","132","1","8","2482","37","2","272597"
"11","Mike McKinney","1002","0","Illinois","US","5768","2","14","15","270","9","40","1","7","566","5","3","29915"
"12","Jeff Klopstein","993","0","Michigan","US","2023","5","47","76","564","16","352","4","8","2533","10","5","79227"
"13","Brett M Ladehoff","978","0","Midwest","US","5165","2","13","14","350","8","20","2","8","531","4","2","146364"
"14","Brandon Schmidt","965","0","Midwest","US","6383","3","31","36","765","19","58","1","7","1337","20","2","42361"
"15","Jason Salter","964","0","Mid-South","US","5373","3","34","40","560","14","110","1","8","1470","14","3","283110"
"16","Brycen Daffern","952","0","Texas","US","5321","4","65","86","545","15","450","2","8","2991","11","5","210596"
"17","Mike Molnar","943","0","Great Plains","US","4134","5","26","40","350","7","120","2","8","1326","9","5","77867"
"18","Gerald Miller2","940","0","Carolina","US","2591","6","16","27","256","3","72","2","8","934","8","4","77198"
"19","Zane Yost","937","0","Indiana","US","3566","4","18","25","206","5","136","2","8","870","3","5","276786"
"20","Joshua Kotten","928","0","Midwest","US","3704","3","37","45","992","25","108","3","8","1697","25","2","113433"
"21","Greg Throne2","926","0","Illinois","US","5516","6","19","30","134","4","98","2","8","972","5","5","239790"
"22","Dylan Wilson","925","0","California Club","US","7676","1","8","8","207","5","6","1","6","304","6","1","67353"
"23","Roman Wesley","885","0","Mid-South","US","2587","6","16","28","25","1","184","2","8","1023","0","7","204954"
"24","Kile Vohringer","879","0","Midwest","US","3563","6","9","14","43","1","56","3","8","510","1","6","271196"
"25","Blake L Brown","852","0","Midwest","US","5333","3","19","24","213","5","50","3","8","869","6","4","302504"
"26","James Edens","852","0","California Club","US","7363","5","10","15","223","5","38","1","6","513","6","4","77711"
"27","Matt Martin","843","0","Texas","US","3347","4","21","26","79","1","146","3","8","945","1","5","49992"
"28","Nick Daffern","835","0","West","US","3719","6","48","82","546","11","308","6","8","2867","14","5","307497"
"29","William Dahl","831","0","Great Plains","US","2678","6","12","29","75","3","160","3","8","1058","2","8","236303"
"30","Jacob Fields","817","0","Indiana","US","5992","2","16","18","413","9","42","1","7","684","11","2","248798"
"31","Derek Dubree","813","0","Illinois","US","3274","5","19","28","196","3","86","3","8","1060","7","4","288031"
"32","Dave Hartman","812","0","Michigan","US","2674","5","12","20","231","4","44","4","8","689","5","3","298790"
"33","Eric Eichstadt","808","0","Midwest","US","2804","6","17","39","22","0","200","3","8","1408","0","6","292091"
"34","Thomas C Carberry","806","0","New Jersey","US","2651","3","13","14","64","1","56","3","8","532","1","4","276344"
"35","Craig Adamzak","803","0","Midwest","US","3444","7","24","41","94","1","224","4","8","1435","1","5","142402"
"36","Taylor Brisighella","796","0","California Club","US","2414","6","27","49","138","4","250","4","8","1569","3","6","299137"
"37","Jacob Hall","795","0","Mid-South","US","3036","5","23","32","200","7","178","3","7","1185","3","4","265365"
"38","Jarrett Murphy","791","0","Indiana","US","4478","4","11","15","110","2","72","3","8","523","3","5","270582"
"39","Dylan R. Houser","775","0","Florida","US","7680","3","14","16","257","9","64","1","7","604","4","2","268611"
"40","Tyler Walton2","775","0","Great Plains","US","3102","7","9","16","68","2","24","4","8","444","1","5","275383"
"41","Nathan Smith4","772","0","Mid-South","US","3210","5","10","14","111","3","64","4","8","505","2","4","79349"
"42","Dalton Conner","766","0","Carolina","US","2824","5","12","13","24","1","42","3","8","455","0","5","266602"
"43","Tom Lanpheer","756","0","Midwest","US","2239","5","14","26","67","1","88","3","8","901","2","5","57993"
"44","Dave Slade","751","0","Pennsylvania","US","3643","5","7","10","8","0","18","2","8","341","0","6","22792"
"45","Alex Smolders","747","0","Canada","CA","5547","5","19","24","69","2","88","2","8","846","3","5","306417"
"46","Jesse Carr","743","0","Great Plains","US","2981","3","8","10","266","7","10","1","6","356","6","2","231510"
"47","Jim Reavis","735","0","Illinois","US","3526","8","13","30","55","1","116","1","8","986","0","6","118439"
"48","Christopher Geigle","726","0","Midwest","US","3509","6","16","31","94","2","112","3","8","1161","3","7","304938"
"49","Adam Peter","718","0","Illinois","US","4681","4","6","9","110","2","34","2","8","332","3","3","17777"
"50","Garrett Niebruegge","714","0","Midwest","US","4017","4","11","12","69","1","24","2","6","437","2","4","187894"
"51","Eric Elmore","709","0","Ohio","US","3639","6","5","9","25","0","34","4","8","340","1","6","305943"
"52","Brandon Skinner","702","0","Illinois","US","2498","6","8","16","33","1","60","5","8","602","0","6","216140"
"53","Tyler Burrow","698","0","Mid-South","US","5340","5","10","16","58","0","52","2","6","542","2","5","273201"
"54","Josh Robertson2","684","0","Ohio","US","3287","6","15","26","34","0","88","3","8","868","1","6","269488"
"55","Mario Teixeira","681","0","California Club","US","2642","6","9","17","128","3","118","3","8","633","4","7","216827"
"56","Matthew Everts","679","0","Midwest","US","4403","7","8","20","62","1","104","5","8","675","2","6","307704"
"57","Blake Lehman","669","0","Carolina","US","1771","7","13","30","74","0","92","4","8","967","2","7","303172"
"58","Scott Burris2","668","0","Midwest","US","4251","4","9","13","18","1","40","4","8","454","0","6","259472"
