"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Braden Johnson","1322","0","Illinois","US","5647","4","27","33","232","9","96","1","8","997","9","4","350039"
"2","Chad Combs4","1280","0","Indiana","US","5819","3","48","52","623","19","36","1","8","1540","18","3","373977"
"3","Petteri Kotovaara","1242","0","Finland","FI","5151","2","24","25","227","8","18","1","8","784","9","2","31811"
"4","Greg Throne2","1238","0","Illinois","US","5516","4","34","40","244","6","44","1","8","1190","9","3","239790"
"5","Derek Fedkenheuer2","1213","0","Midwest","US","4236","4","34","41","294","9","34","2","8","1114","12","3","413206"
"6","Trevor Throne","1196","0","Illinois","US","6727","2","15","16","275","11","56","1","7","512","7","2","239931"
"7","Joshua Hesson","1196","0","Indiana","US","4695","3","26","27","336","10","40","1","8","870","9","3","346292"
"8","Cole Harvey","1187","0","Pennsylvania","US","5887","2","25","27","461","13","20","1","8","843","13","2","314859"
"9","Tommy Bush","1143","0","Northwest","US","4807","3","22","24","209","8","46","1","8","743","7","3","306311"
"10","Coty Slawson","1112","0","California Club","US","5372","3","15","16","168","6","32","1","8","495","5","4","365345"
"11","Austin Matthews4","1097","0","Great Plains","US","5809","2","13","14","262","8","16","1","7","455","8","3","275289"
"12","Connor Budensiek","1084","0","Midwest","US","3792","4","79","106","447","15","224","2","8","3153","10","5","279017"
"13","Wesley Gwaltney","1073","0","Mid-South","US","4877","3","15","18","275","8","14","1","8","548","9","2","309768"
"14","Tate Butler","1072","0","Great Plains","US","2761","5","9","14","69","4","56","2","8","393","1","3","353967"
"15","Chris Brown14","1061","0","Indiana","US","3449","5","29","42","179","5","96","2","8","1330","7","5","249288"
"16","Dustin Layman","1055","0","Great Plains","US","4443","2","18","20","269","10","12","2","8","606","9","2","386547"
"17","Jimmy Gustin","1025","0","Midwest","US","2591","4","16","22","182","6","28","2","8","618","5","4","419609"
"18","Mathew Emmerling","996","0","Carolina","US","5081","2","23","26","379","13","32","2","8","775","11","2","109070"
"19","Hayden Cardwell","976","0","Mid-South","US","7324","2","13","15","273","11","12","1","7","412","9","3","273744"
"20","Austin Moore3","973","0","Mid-South","US","4537","5","42","59","350","13","116","1","8","1540","13","4","297512"
"21","Keith C. McGuire","958","0","Mid-South","US","7630","2","23","26","527","20","24","1","6","791","15","2","295661"
"22","Brycen Daffern","943","0","Texas","US","5321","2","11","12","156","6","46","1","6","394","4","4","210596"
"23","William Hargreaves","943","0","Midwest","US","5218","3","21","23","188","5","42","1","8","740","7","4","384881"
"24","Nicolas Yaskiw","941","0","Canada","CA","3259","6","22","41","67","2","114","2","8","1232","4","7","311776"
"25","Dalton Ewing","940","0","Illinois","US","3068","6","16","27","67","2","102","2","8","779","2","7","306519"
"26","Jason Mynatt","929","0","Illinois","US","4628","2","9","9","152","5","4","1","7","278","5","2","294467"
"27","Jason Skinner","920","0","Mid-South","US","2911","6","12","22","28","0","58","2","8","657","1","6","390551"
"28","Jordan Wesley","913","0","Mid-South","US","4006","4","7","13","0","0","36","2","8","424","0","5","136849"
"29","Adam Hommerding","899","0","West","US","4544","3","7","8","64","2","16","2","7","243","2","3","276109"
"30","Dion Kovar","881","0","Great Plains","US","3620","5","46","78","227","9","184","4","8","2200","12","5","291547"
"31","Austin Harnick","880","0","Michigan","US","4674","4","26","33","241","8","62","2","7","990","3","4","256122"
"32","George Fehrenbacher","872","0","Indiana","US","4059","3","17","21","188","7","58","1","8","678","4","5","254228"
"33","Bobby DiNardi","867","0","Illinois","US","3360","4","56","76","335","13","224","5","8","2303","8","5","269308"
"34","Sam White2","853","0","New England","US","2464","6","15","33","39","2","96","3","8","978","2","5","339267"
"35","Travis Olson3","849","0","Midwest","US","2292","6","18","36","26","0","44","2","8","1055","2","5","418028"
"36","Tyler Bolling3","844","0","Indiana","US","3294","6","17","37","33","1","106","2","8","1051","1","6","207230"
"37","Zachary Mietzner","842","0","Illinois","US","2427","6","21","36","131","4","126","4","8","1032","6","6","253454"
"38","Eric York","822","0","Mid-South","US","2175","5","20","33","124","5","78","4","8","895","5","6","424148"
"39","Ryan Sampsell","815","0","Pennsylvania","US","4037","5","13","19","67","1","38","2","7","549","2","5","214598"
"40","Phillip Wilson","809","0","Carolina","US","3116","5","9","13","20","1","34","2","8","350","0","5","310934"
"41","Zach Jenkins","799","0","Mid-South","US","3501","4","7","8","3","0","16","2","7","243","1","3","310003"
"42","Cj Howell","790","0","Mid-South","US","3117","4","19","27","414","12","38","3","8","729","13","2","329840"
"43","Dave Wadsager","787","0","Illinois","US","2002","5","12","20","89","3","36","3","8","603","3","5","404842"
"44","Jacob Steinkoenig","779","0","Illinois","US","1605","5","12","17","29","1","50","3","8","559","0","6","429789"
"45","Trevor Frank2","768","0","Midwest","US","2249","6","17","30","17","1","90","3","8","708","1","7","248354"
"46","Chris S Martin","762","0","Mid-South","US","3569","7","5","13","26","1","42","2","8","342","0","8","307179"
"47","Nicholas Lamb2","761","0","Great Plains","US","1941","6","47","77","265","7","156","5","8","2156","6","7","403821"
"48","Mitchell hunt2","751","0","Michigan","US","3867","4","17","21","133","5","46","6","6","660","4","4","305894"
"49","Michael Garren","751","0","Indiana","US","2175","6","20","44","6","0","138","3","8","1369","2","6","340590"
"50","Matt S Sanders","749","0","Northwest","US","4567","3","17","18","191","6","36","1","6","542","3","3","349924"
"51","James Ray","747","0","West","US","3362","5","11","16","159","4","20","1","7","456","7","3","88499"
"52","Lane Zerbin","746","0","Canada","CA","2332","6","13","24","0","0","48","3","8","748","0","7","24701"
"53","Brent D Carter","736","0","Mid-South","US","3862","5","11","16","134","5","44","2","5","480","6","3","374481"
"54","Blake Cannon","735","0","Georgia","US","5948","4","8","11","144","4","22","1","5","321","5","2","82668"
"55","Bryan Clendenen","729","0","Illinois","US","1978","6","22","41","114","5","96","7","8","1120","5","5","42120"
"56","Dustin Shoulders","723","0","Indiana","US","4681","3","9","10","161","5","14","1","6","338","5","2","213697"
"57","Lucas Chowning","722","0","Mid-South","US","6064","5","7","10","38","2","16","1","6","291","3","3","176074"
"58","Jarrett Murphy","720","0","Indiana","US","4448","3","7","9","139","4","10","2","6","286","3","3","270582"
"59","Dale Shaw","710","0","Canada","CA","2119","6","11","25","0","0","92","2","8","710","0","7","106972"
"60","Max Mosher","710","0","Midwest","US","3028","6","7","17","35","1","44","3","7","476","1","5","186614"
"61","Tyson Pankow","709","0","Illinois","US","4326","4","8","11","24","0","18","1","6","339","2","4","214179"
"62","Kevin Swank","708","0","Midwest","US","2430","7","8","23","2","1","50","3","8","668","0","8","330068"
"63","Tyler  Fisher","703","0","Illinois","US","3044","8","5","23","0","0","74","2","8","673","0","8","388683"
"64","EJ Jones","700","0","Texas","US","4206","6","5","8","30","1","12","1","8","254","1","6","296654"
"65","Dylan Williams","698","0","Midwest","US","1618","6","25","46","436","10","80","3","8","974","13","4","268167"
"66","Barry Sorensen","691","0","Midwest","US","5229","3","8","9","72","1","20","1","5","258","3","3","253471"
"67","Justin Sick","690","0","New York","US","4352","7","8","24","32","2","50","3","8","643","0","6","325450"
"68","Dillon Buhr","687","0","Florida","US","3328","6","4","10","25","1","22","2","8","330","1","7","108370"
"69","Joe Mclaughlin","678","0","Indiana","US","1706","6","24","55","127","4","140","3","8","1673","2","7","101505"
"70","Dan Hoekstra","677","0","Michigan","US","1875","6","13","31","29","1","90","3","8","951","1","6","415620"
"71","Steven Gilbert4","672","0","Mid-South","US","2471","6","9","17","33","1","50","3","8","492","0","6","404799"
"72","Taylor Jacobson","671","0","Midwest","US","2771","7","16","39","55","1","180","3","8","1107","0","6","396308"
"73","Drew Autry","671","0","California Club","US","2839","5","9","17","1","1","50","3","8","519","2","5","418235"
"74","Jake Barneycastle","668","0","Mid-South","US","3638","2","8","9","77","3","14","2","6","290","2","3","300623"
"75","Boddie Parker3","665","0","West","US","2288","6","12","28","63","3","62","5","8","681","2","6","269094"
"76","Benji Killian","661","0","Texas","US","4359","4","6","8","128","3","18","1","6","265","6","2","341750"
"77","Christopher Long3","661","0","Mid-South","US","2119","7","7","22","0","0","56","2","8","626","0","7","294430"
"78","Sawyer Swatek","658","0","Midwest","US","2564","5","8","15","165","5","42","3","7","373","5","5","350796"
"79","Jaron Hazen","651","0","Midwest","US","3489","4","7","8","10","0","28","2","6","222","0","5","324351"
"80","Anthony Ricketts","649","0","Illinois","US","3839","5","11","19","62","1","46","3","7","600","2","5","436106"
"81","Charles Silvis","649","0","Pennsylvania","US","1843","4","8","10","41","1","20","2","6","311","2","4","225483"
"82","Ian Morgan","645","0","Midwest","US","1823","6","46","101","316","12","408","5","8","2989","7","5","423295"
"83","Travis Wytaske","644","0","Midwest","US","1780","6","33","77","68","1","198","4","8","2042","1","6","371238"
"84","Christopher Geigle","643","0","Midwest","US","3583","6","12","23","13","1","44","2","8","658","1","7","304938"
"85","Tanner Tomasi","643","0","Great Plains","US","5419","3","8","9","92","4","16","1","4","276","2","3","275149"
"86","Rick Gibson","640","0","Florida","US","3629","3","8","9","63","2","8","2","5","285","2","5","280045"
"87","Hunter Anderson","639","0","Midwest","US","1448","6","13","25","60","2","90","3","8","773","1","7","300601"
"88","Adrien Brown","635","0","Ohio","US","3562","6","8","18","150","4","46","2","8","539","2","4","406201"
"89","Derek Line","635","0","Illinois","US","2398","6","4","8","0","0","36","3","8","253","0","6","249364"
"90","Donovan Graham","629","0","Great Plains","US","3113","5","8","15","16","0","24","2","7","359","1","6","296936"
"91","Steven Mclaughlin","628","0","Midwest","US","2007","6","72","153","241","6","644","9","8","4376","13","6","340154"
"92","Mike Stevenson","628","0","Mid-South","US","1924","7","7","19","0","0","84","3","8","567","0","7","410601"
"93","Brett Buelteman","623","0","Midwest","US","1905","5","30","53","246","8","138","7","8","1428","8","5","324143"
"94","Paul W Visage","615","0","Carolina","US","2457","5","7","12","86","3","54","3","6","358","2","6","336781"
"95","Richard Ragsdale","614","0","California Club","US","1339","5","16","28","109","5","100","4","8","714","4","5","386237"
"96","Travis Miller3","614","0","Ohio","US","1856","6","13","24","68","2","66","3","8","587","1","6","277810"
"97","Trevor Noonan","613","0","Great Plains","US","1671","6","18","34","58","2","92","4","8","935","5","5","247052"
"98","Jayden Larson","613","0","Midwest","US","2298","6","8","12","7","0","26","3","7","325","2","6","372516"
"99","Trevor Schelske","610","0","Michigan","US","1687","7","16","45","0","0","138","3","8","1404","0","8","421385"
"100","Zachery DeLonge","609","0","Michigan","US","3308","3","11","13","92","1","12","2","5","414","1","4","349429"
"101","Jay Place","608","0","Carolina","US","6306","3","7","8","206","7","8","1","5","250","4","2","172417"
"102","Tim Eaves","608","0","Mid-South","US","2050","7","7","18","33","0","42","2","8","496","2","7","335754"
"103","Grant Ryals","605","0","Florida","US","5414","1","6","6","187","6","2","1","4","200","5","1","196824"
"104","Jordin Mitchell","605","0","Pennsylvania","US","3540","4","10","12","25","1","24","2","7","353","1","4","71078"
"105","Rocky Battenfield","603","0","Great Plains","US","5858","4","9","13","103","6","10","1","5","300","3","4","64463"
"106","Chad Crawford","601","0","Ohio","US","1435","5","13","21","29","1","50","4","8","560","2","5","294113"
"107","James Rotruck","600","0","Atlantic","US","3786","6","5","9","0","0","16","2","7","254","0","6","254321"
"108","Jess Chambers","599","0","Michigan","US","2591","7","8","30","41","2","74","2","8","934","1","7","396627"
"109","Matt Short","597","0","Midwest","US","3164","4","8","9","5","0","20","2","5","259","0","6","312307"
"110","James Armstrong6","593","0","West","US","2116","6","6","15","35","1","50","3","8","436","1","5","386580"
"111","Chad Johnson","592","0","California Club","US","3286","5","9","20","76","2","42","11","7","547","3","5","88779"
"112","Ben W Lewis","590","0","Midwest","US","2788","5","23","34","119","5","80","4","8","947","5","5","418214"
"113","Jeffrey Lanham","589","0","Ohio","US","2636","4","7","10","68","2","20","2","5","291","2","5","271969"
"114","Kyle Urbanik","587","0","Midwest","US","1935","8","11","34","64","4","78","3","8","646","2","8","117291"
"115","Ryan Harris3","586","0","Texas","US","5020","6","18","28","17","0","54","3","7","864","0","5","98556"
"116","Zack McSwain","584","0","Carolina","US","8517","1","9","9","160","6","14","1","4","272","7","2","366325"
"117","Richard Murtaugh Jr.","583","0","New York","US","6716","3","15","21","227","7","44","1","4","639","8","3","238367"
"118","Ty Garl","583","0","Pennsylvania","US","5195","4","9","12","31","1","12","1","7","368","1","4","338937"
"119","Tyler Knight4","577","0","Texas","US","1836","6","28","46","133","5","126","7","8","1236","3","6","328291"
"120","Gary roberson III","577","0","Florida","US","1814","3","12","13","6","1","58","4","8","408","0","5","268274"
"121","Dan Harding","570","0","Pennsylvania","US","1869","6","32","68","310","10","294","6","8","1724","8","5","353884"
"122","Andrew Towne2","567","0","Northwest","US","1808","6","9","15","1","0","42","3","8","387","1","5","243526"
"123","Bradley Almond","564","0","Great Plains","US","2917","6","5","14","34","0","24","3","8","413","0","5","416076"
"124","Kyle Hill2","560","0","Carolina","US","3586","3","14","14","95","3","12","2","4","434","2","4","267107"
"125","Blake Walters","557","0","Midwest","US","2224","4","5","8","0","0","26","4","8","250","0","7","318837"
"126","Brandon Oliver","555","0","Ohio","US","2070","5","29","57","130","4","126","7","8","1714","4","5","341486"
"127","daniel Merritt","554","0","Mid-South","US","1851","6","22","39","61","3","120","4","7","1071","3","5","177704"
"128","Shane DeVolder3","553","0","California Club","US","4014","2","6","7","108","5","16","2","4","230","4","2","265036"
"129","Dustin Hall3","553","0","Great Plains","US","4361","3","5","5","13","1","6","1","4","160","0","5","320571"
"130","William Duvall II","552","0","Virginias","US","2606","5","7","9","0","0","24","2","5","252","0","7","376793"
"131","Craig Gullixson","549","0","Midwest","US","3350","5","4","6","0","0","24","2","6","195","0","5","252417"
"132","Austin Long","547","0","Indiana","US","3358","4","26","29","100","2","60","1","4","887","4","3","348910"
"133","Ronald Corkwell","547","0","Indiana","US","2036","6","7","13","10","1","22","3","8","387","0","8","302421"
"134","Jed Barton","544","0","Indiana","US","3222","3","7","7","54","1","4","2","4","230","1","2","301278"
"135","Will Gatzke","543","0","Great Plains","US","3509","5","5","9","56","2","22","2","6","267","2","4","303516"
"136","Joby Baugh","542","0","West","US","2316","6","103","272","233","5","518","7","8","7652","10","8","444710"
"137","Corey Cormier","534","0","New York","US","1596","4","14","21","140","5","60","7","6","604","5","4","356152"
"138","Tyson Blood","533","0","Northwest","US","2217","5","23","35","46","1","112","7","8","1057","2","6","271643"
"139","Kevin Gram","532","0","West","US","4373","6","7","12","6","0","20","1","7","346","0","5","26866"
"140","Kyler Bruce","528","0","Michigan","US","3105","7","7","20","9","0","24","3","7","478","0","7","302373"
"141","Bricen James","525","0","Northwest","US","2329","2","6","6","87","3","4","3","4","185","3","2","244456"
"142","Nate Mayland","521","0","Midwest","US","2845","5","11","19","75","1","26","2","5","645","4","4","388957"
"143","Torryn Shurts","519","0","Great Plains","US","2930","4","6","9","11","2","34","2","4","280","0","5","266676"
"144","James Ambrosius","516","0","Midwest","US","4407","2","5","5","102","3","8","1","4","165","4","1","396863"
"145","Dylan R. Houser","513","0","Florida","US","7680","1","6","6","136","6","6","1","4","195","2","2","268611"
"146","Hunter Poston","511","0","Midwest","US","2879","7","7","12","34","0","44","2","5","353","2","5","160320"
"147","Joshua Miller9","509","0","Pennsylvania","US","2261","8","3","19","0","0","38","3","8","512","0","7","317733"
"148","Carl Sundberg","509","0","Scandinavia","SE","2442","6","9","20","1","0","32","3","8","598","1","4","15271"
"149","Nate Chodur","507","0","Midwest","US","4803","3","5","6","110","2","6","1","4","188","3","3","51394"
"150","Nick Lenney","507","0","Ohio","US","2209","8","3","11","2","1","44","2","5","193","0","7","269154"
"151","Brad Nichols","502","0","Indiana","US","3452","4","9","11","20","2","32","2","5","340","1","7","255299"
"152","Shane James3","495","0","Indiana","US","6281","2","4","4","27","1","4","1","4","130","2","2","270384"
