"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Jeremy Capron","1297","0","Midwest","US","5879","2","20","21","281","11","22","1","8","630","10","3","150541"
"2","Lucas Chowning","1284","0","Mid-South","US","6064","3","30","33","287","8","52","1","8","982","10","3","176074"
"3","Brycen Daffern","1228","0","Texas","US","5321","3","100","120","1501","59","226","1","8","3455","32","3","210596"
"4","Shad Prescott","1194","0","Great Plains","US","5630","3","19","20","177","7","26","2","8","600","7","2","310694"
"5","Austen Semmelmann2","1188","0","Midwest","US","6343","2","18","18","310","10","12","1","8","540","11","2","269057"
"6","Austin Matthews4","1183","0","Great Plains","US","5809","2","20","22","235","8","36","1","8","657","7","2","275289"
"7","Howard Weaver","1181","0","Mid-South","US","7303","1","12","12","197","8","16","1","8","360","6","2","89416"
"8","Matthew Everts","1130","0","Midwest","US","4403","3","56","61","474","18","84","2","8","1761","11","3","307704"
"9","Trevor Fitz","1101","0","California Club","US","5050","3","11","13","165","5","18","1","8","390","4","3","72978"
"10","Tyler Hallum","1021","0","Mid-South","US","2616","5","21","29","125","4","88","3","8","739","3","4","231025"
"11","Clay Debban","1016","0","Northwest","US","4642","3","23","26","284","6","32","1","8","774","14","2","272597"
"12","Mike Molnar","1004","0","Great Plains","US","4186","3","19","22","123","7","42","1","8","660","4","3","77867"
"13","Eric Elmore","981","0","Ohio","US","3639","3","10","13","78","2","24","2","8","390","2","4","305943"
"14","Austin Carnley","975","0","Mid-South","US","1875","4","26","36","210","9","88","3","8","982","7","3","306483"
"15","Scott Burris2","928","0","Midwest","US","4251","3","24","27","249","10","36","1","8","808","10","3","259472"
"16","Taylor Brisighella","917","0","California Club","US","2414","5","14","20","32","2","60","2","8","527","1","6","299137"
"17","Cole Harvey","900","0","Pennsylvania","US","5887","4","28","37","215","6","66","2","8","986","11","3","314859"
"18","James Rotruck","859","0","Atlantic","US","3786","5","37","56","176","4","96","2","8","1586","7","4","254321"
"19","Chad Peterson","856","0","California Club","US","2746","5","13","20","30","1","78","2","7","573","1","5","15828"
"20","Blake Garrett","849","0","Indiana","US","4171","5","32","50","67","3","146","3","8","1389","4","5","324589"
"21","Dustin Hall3","835","0","Great Plains","US","4361","5","55","87","265","9","230","3","8","2381","11","5","320571"
"22","Tyler Hargrove","833","0","Mid-South","US","4683","5","17","21","40","0","42","3","8","564","2","5","303800"
"23","Jesse Isadore","822","0","Pennsylvania","US","3156","5","29","45","113","2","92","2","8","1325","6","5","299900"
"24","Roman Wesley","808","0","Mid-South","US","2587","6","10","25","8","1","106","2","8","694","0","6","204954"
"25","Jesse Carr","799","0","Great Plains","US","2981","3","7","8","76","3","8","2","7","240","1","4","231510"
"26","William Dahl","796","0","Great Plains","US","2678","5","28","38","44","1","76","3","8","1113","0","5","236303"
"27","Keith Hackney","791","0","Georgia","US","4015","4","7","9","43","3","18","1","7","231","1","3","281243"
"28","John Kennedy3","791","0","Illinois","US","2735","5","11","17","56","1","34","2","8","473","3","5","64016"
"29","Carl Young","778","0","Indiana","US","2637","6","35","63","97","2","132","2","8","1717","8","5","304670"
"30","Greg Throne2","777","0","Illinois","US","5516","5","10","17","1","0","56","2","8","458","0","4","239790"
"31","Todd Hook","775","0","Great Plains","US","4132","6","16","28","0","0","62","3","8","640","0","5","270173"
"32","Adam Peter","770","0","Illinois","US","4681","3","8","9","110","3","8","2","8","270","5","3","17777"
"33","Alex Smolders","759","0","Canada","CA","5547","3","10","12","97","5","14","2","6","329","1","3","306417"
"34","Blake L Brown","749","0","Midwest","US","5333","3","15","17","49","2","22","2","7","508","1","3","302504"
"35","Eric Eichstadt","747","0","Midwest","US","2804","4","12","14","60","2","22","2","8","405","2","5","292091"
"36","Rick Gibson","733","0","Florida","US","3629","4","12","12","0","0","14","2","8","360","0","5","280045"
"37","Dylan Wilson","731","0","California Club","US","7603","2","5","5","83","4","4","1","4","150","2","2","67353"
"38","Jason Mynatt","728","0","Illinois","US","4628","3","7","7","29","0","8","1","6","210","1","3","294467"
"39","Christopher Geigle","725","0","Midwest","US","3583","6","12","28","0","0","58","2","8","820","0","7","304938"
"40","Trevor Throne","722","0","Illinois","US","6727","4","8","10","23","1","24","2","7","264","0","4","239931"
"41","Jared Mogard","721","0","Midwest","US","2686","6","11","24","66","2","54","1","8","645","2","6","85271"
"42","Brette Osgood","716","0","New York","US","2425","4","10","15","0","0","62","4","8","430","0","5","320633"
"43","Leodan Pina","715","0","Carolina","US","3685","3","6","7","18","1","16","1","6","210","0","5","285626"
"44","David Clymer2","711","0","Mid-South","US","3070","5","30","49","99","3","124","5","8","1372","3","5","285867"
"45","Jim Chisholm","689","0","Midwest","US","3129","4","9","13","130","4","34","3","8","381","3","5","327526"
"46","David Day","689","0","Northwest","US","2893","6","7","14","0","0","52","3","7","362","0","5","42632"
"47","Charles Silvis","681","0","Pennsylvania","US","1843","5","14","23","96","2","68","3","8","631","5","5","225483"
"48","Jordan Wesley","671","0","Mid-South","US","4006","6","8","13","53","2","36","2","7","336","3","4","136849"
"49","Alex A Bergeron","670","0","Canada","CA","8534","2","23","26","414","14","38","1","5","780","12","3","246298"
"50","Cody Cantonwine","665","0","West","US","1325","6","30","68","167","5","250","6","8","1779","4","6","309967"
"51","Cody Dutton","657","0","Virginias","US","3431","6","12","21","55","1","66","2","6","540","3","6","65222"
"52","Josh Harm","654","0","Australia/NZ","AU","4511","2","8","8","142","5","14","1","5","240","5","2","263800"
"53","Josh Vinci","651","0","Ohio","US","2715","6","12","24","49","1","60","4","8","674","2","5","263898"
"54","Dustin Shoulders","639","0","Indiana","US","4681","5","7","9","15","0","38","2","6","263","0","6","213697"
"55","Evan Seay","620","0","Carolina","US","8887","3","35","46","545","16","88","3","5","1269","20","3","330143"
"56","Petteri Kotovaara","611","0","Finland","FI","5151","5","7","12","22","0","34","2","8","315","2","4","31811"
"57","Wesley Gwaltney","601","0","Mid-South","US","4877","5","13","19","59","1","44","3","8","502","3","5","309768"
"58","Brandon Schmidt","595","0","Midwest","US","6383","2","30","32","598","19","38","1","4","960","19","2","42361"
"59","jordan Walker2","593","0","Midwest","US","1977","5","7","15","11","1","22","3","8","450","0","8","303202"
"60","Daren Friedman","575","0","Illinois","US","4271","6","10","18","166","6","50","5","8","420","6","4","270576"
"61","Terry Gray","573","0","Mid-South","US","3095","2","11","11","196","6","10","3","5","330","8","2","272109"
"62","Tyler Frye","573","0","Great Plains","US","2044","5","11","15","30","1","46","4","6","419","1","5","148570"
"63","Scott Dunlap","571","0","Pennsylvania","US","1789","6","11","23","28","1","46","3","8","664","1","5","19908"
"64","Wesley White","569","0","Mid-South","US","2495","7","15","33","51","1","82","3","8","815","3","6","276575"
"65","Travis Miller3","561","0","Ohio","US","1856","7","11","37","50","1","118","4","8","933","4","6","277810"
"66","Chris S Martin","561","0","Mid-South","US","3569","4","7","11","6","1","30","4","8","330","0","5","307179"
"67","Jordan Casey","553","0","Midwest","US","7146","3","17","21","279","9","62","4","6","573","10","3","333265"
"68","Michael Morris6","546","0","Northwest","US","5225","3","8","10","73","1","22","2","5","285","4","2","114710"
"69","Matthew Zumwalt","536","0","Midwest","US","1968","6","7","18","1","1","50","3","8","487","0","7","310476"
"70","Nick Daffern","533","0","West","US","3719","4","8","12","91","2","22","1","5","341","4","3","307497"
"71","Tyler Blankenship","532","0","Virginias","US","2310","6","6","14","30","1","62","3","8","417","1","7","291532"
"72","Brad Nichols","524","0","Indiana","US","3452","5","28","40","184","6","90","3","6","1124","3","5","255299"
"73","Jason Salter","522","0","Mid-South","US","5373","2","6","6","89","4","18","1","4","180","2","2","283110"
"74","Johnny Broking","522","0","Midwest","US","4486","2","5","5","40","0","12","1","4","150","3","1","124848"
"75","Dan Barton","515","0","Indiana","US","1582","6","8","17","36","1","46","6","8","425","1","5","233850"
"76","Colby Smith","512","0","Texas","US","2001","4","9","11","30","1","22","7","8","308","1","4","55137"
"77","Matthew Stein","511","0","Midwest","US","2666","6","18","38","41","1","56","6","8","1032","1","6","341745"
"78","Rocky Battenfield","497","0","Great Plains","US","5858","5","6","7","43","0","16","1","6","191","1","5","64463"
"79","Josh Blanchard","488","0","Texas","US","2794","4","8","10","14","0","16","4","6","297","3","4","261306"
"80","Adam Elby","484","0","California Club","US","6087","3","4","5","60","2","8","1","4","148","1","3","80993"
"81","Josh Vangor","477","0","Pennsylvania","US","2208","6","7","21","30","1","58","3","6","623","1","6","318384"
"82","Matt Short","476","0","Midwest","US","3164","7","5","12","0","0","34","4","8","301","0","7","312307"
"83","Jacob Blair","471","0","Great Plains","US","2334","5","7","10","0","0","22","3","8","300","0","5","49613"
"84","Warren Samoy","468","0","Northwest","US","3377","7","4","13","0","0","22","3","8","338","0","7","297050"
"85","Cole Falloway","465","0","Mid-South","US","5348","2","4","4","17","1","0","2","4","120","0","3","199899"
"86","Nicolas Yaskiw","463","0","Canada","CA","3259","7","6","19","0","0","46","2","8","535","0","7","311776"
"87","Jeffrey Sweitzer II","461","0","Pennsylvania","US","2122","5","7","10","1","0","22","3","6","298","0","5","319735"
"88","Richard Spahr","461","0","Great Plains","US","3087","4","6","6","1","0","2","2","5","180","0","5","313728"
"89","Lane Zerbin","450","0","Canada","CA","2332","7","7","25","49","1","50","5","8","708","2","7","24701"
"90","Donald Bryan2","450","0","Midwest","US","1508","8","3","11","1","1","32","4","8","320","0","10","311236"
"91","Jeremy Freeman6","445","0","Mid-South","US","1935","5","11","18","72","3","44","3","7","471","3","5","245893"
"92","Jeremy D Elliotte","441","0","Mid-South","US","3479","6","8","14","0","0","46","2","4","330","0","5","146184"
"93","Brandon Hoekstra","421","0","California Club","US","1553","6","10","23","2","0","66","7","7","655","1","7","85994"
"94","Ryan Martin9","419","0","Virginias","US","2178","4","4","6","29","1","14","3","5","179","0","5","270589"
"95","Bryan Root","419","0","Great Plains","US","3242","5","4","9","30","1","12","3","6","269","1","7","303501"
"96","Virgil Graham","414","0","Pennsylvania","US","5685","3","6","6","30","1","10","1","3","180","1","3","264174"
"97","Bailey Jones2","413","0","California Club","US","2065","6","10","20","30","1","64","6","7","496","1","7","327063"
"98","Matt Fizell","412","0","Midwest","US","1849","6","5","8","0","0","20","3","8","237","0","6","294416"
"99","Harley Benjamin","402","0","Ohio","US","1700","5","8","20","23","1","46","6","6","559","0","5","304471"
"100","Blake Moseley","399","0","Georgia","US","3389","4","6","9","59","2","18","3","5","270","2","4","288666"
"101","Jed Barton","392","0","Indiana","US","3222","5","5","10","49","2","30","3","6","261","0","5","301278"
"102","Brad Moore","390","0","Ohio","US","5975","4","6","7","29","1","16","2","4","192","0","5","57036"
"103","Nathan Sletto","388","0","Midwest","US","1496","5","7","11","30","1","26","3","5","275","1","5","292512"
"104","Benjamin Burke","384","0","Great Plains","US","3098","5","5","7","0","0","14","4","4","210","0","7","318337"
"105","Jeremy Ray","383","0","Mid-South","US","2715","4","11","14","37","0","14","3","4","403","2","4","269452"
"106","Daniel L Powell","380","0","Mid-South","US","4306","7","4","15","0","0","50","3","6","374","0","5","324708"
"107","Marc Molnar","379","0","Great Plains","US","3723","4","5","5","0","0","16","2","4","150","0","4","63232"
"108","Colin Green2","375","0","Mid-South","US","1783","5","10","16","10","0","34","4","6","414","1","5","306412"
"109","Dakota Meyers","372","0","Mid-South","US","2178","6","7","16","0","0","68","5","6","433","1","5","335450"
"110","Brandon Mullis","370","0","Mid-South","US","2253","5","4","6","5","0","32","2","5","152","0","7","102193"
"111","Austin O'Neal","370","0","Great Plains","US","2351","6","4","7","0","0","30","2","5","209","0","7","238452"
"112","Shon Pointer","367","0","Great Plains","US","2968","4","8","12","83","4","12","3","5","292","2","4","309677"
"113","Christopher Miller3","365","0","Midwest","US","1733","6","7","11","1","0","24","4","6","300","0","6","77004"
