"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"1","Matthew McKinney","1668","0","Illinois","US","4756","2","14","15","357","11","12","1","8","493","11","2","97392"
"2","Zach Leonhardi","1605","0","Georgia","US","6382","2","51","56","1174","36","68","1","8","1882","30","2","83087"
"3","Tony Gualda","1599","0","California Club","US","4394","3","17","20","241","7","38","1","8","674","9","3","40607"
"4","R.J. Stroman","1522","0","Texas","US","2980","4","17","22","150","5","58","1","8","768","3","5","45441"
"5","Jordan Wesley","1429","0","Mid-South","US","4037","4","43","55","346","11","154","1","8","1815","7","4","136849"
"6","Brandon Chretien","1421","0","New York","US","2930","3","84","103","2035","57","176","1","8","3325","59","2","48807"
"7","Ryan J Flaten","1418","0","Midwest","US","5238","2","25","28","613","18","28","1","8","960","11","2","232834"
"8","Jeremy Capron","1389","0","Midwest","US","5879","3","54","60","750","20","34","1","8","2067","21","2","150541"
"9","Cole Falloway","1383","0","Mid-South","US","5348","3","36","42","430","14","46","2","8","1370","11","3","199899"
"10","Mike McKinney","1371","0","Illinois","US","5768","2","9","9","135","4","4","1","7","315","1","4","29915"
"11","Brett M Ladehoff","1360","0","Midwest","US","5165","2","30","32","465","17","44","1","8","1120","12","3","146364"
"12","Justin Thomas","1356","0","Illinois","US","4065","5","27","39","112","3","82","1","8","1226","4","5","18045"
"13","Howard Weaver3","1350","0","Mid-South","US","3604","4","24","33","333","9","56","3","8","1055","13","4","293174"
"14","Dylan R. Houser","1348","0","Florida","US","7680","4","71","87","1042","29","188","1","8","2810","26","3","268611"
"15","Jacob Leverstein","1326","0","Virginias","US","5337","2","64","69","1330","40","74","1","8","2355","34","2","102690"
"16","Tommy Dutcher2","1295","0","California Club","US","1881","4","40","51","442","14","84","3","8","1543","7","5","238925"
"17","Terry Wolfe2","1278","0","Mid-South","US","5517","4","35","47","303","8","54","2","8","1540","11","3","268726"
"18","Doug Buzzard","1226","0","Great Plains","US","2594","5","47","76","335","10","152","2","8","2508","8","5","263513"
"19","Dustin Beck","1199","0","Indiana","US","2166","4","21","28","146","3","46","2","8","936","6","3","54082"
"20","Lucas Chowning","1193","0","Mid-South","US","6064","4","56","75","406","11","162","1","8","2539","11","4","176074"
"21","Travis Marsh","1189","0","Mid-South","US","4309","4","14","17","186","4","36","1","8","586","4","3","245398"
"22","Mario Teixeira","1176","0","California Club","US","2642","5","41","67","251","7","216","2","8","2100","5","5","216827"
"23","Nathan Smith4","1169","0","Mid-South","US","3210","6","16","26","105","3","84","2","8","810","3","5","79349"
"24","Roman Wesley","1160","0","Mid-South","US","2587","6","28","58","58","2","290","2","8","1852","0","7","204954"
"25","Neil Adamzak","1139","0","Midwest","US","3548","4","24","29","205","5","56","2","8","953","5","5","63540"
"26","Garrett Niebruegge","1079","0","Midwest","US","4017","5","20","33","101","3","40","2","8","1101","3","5","187894"
"27","Johnny Broking","1077","0","Midwest","US","4486","5","14","21","76","3","46","2","8","653","1","5","124848"
"28","Tyler Burrow","1077","0","Mid-South","US","5340","6","16","33","7","0","72","1","8","1080","1","6","273201"
"29","Dillon Crook","1054","0","Carolina","US","3786","4","17","23","143","4","18","1","8","778","4","4","198551"
"30","Matthew Logan","1053","0","Carolina","US","3503","5","30","54","102","3","138","2","8","1777","3","7","106260"
"31","Clay Debban","1041","0","Northwest","US","4642","5","133","202","1030","26","414","2","8","6642","46","3","272597"
"32","Jason Mynatt","1017","0","Illinois","US","4663","4","50","73","435","14","188","4","8","2415","15","4","294467"
"33","Ken Short","1012","0","Mid-South","US","2473","5","6","10","76","2","28","1","8","349","3","4","253617"
"34","Dustin Shoulders","1003","0","Indiana","US","4681","4","23","30","275","7","56","3","8","1030","6","4","213697"
"35","Jimmy Emery2","994","0","Great Plains","US","4337","4","25","32","271","7","42","2","8","1043","8","4","231228"
"36","Kalvin Morton","985","0","Northwest","US","1767","5","19","32","151","5","66","3","8","1046","2","5","101883"
"37","Dave Slade","983","0","Pennsylvania","US","3643","5","20","30","80","2","46","2","8","998","1","7","22792"
"38","Chad Smith","970","0","Texas","US","1595","6","42","70","100","2","122","2","8","2303","2","5","20070"
"39","Tyler D. Hudson","964","0","Mid-South","US","6497","2","11","12","251","8","16","1","6","419","6","3","261989"
"40","Chad Bolin","950","0","Mid-South","US","3459","4","10","14","47","1","18","2","8","489","1","4","270188"
"41","Khaled Graham","942","0","Great Plains","US","3750","6","14","28","29","2","20","2","8","874","2","5","268687"
"42","James Edens","936","0","California Club","US","7363","4","13","19","121","4","18","1","6","607","5","4","77711"
"43","Mason Crawford","928","0","Texas","US","5471","3","21","26","484","13","56","5","8","812","13","2","269138"
"44","Eric Fargo","924","0","Pennsylvania","US","2836","4","11","15","213","6","18","1","7","443","7","4","270259"
"45","Adam J Davis","909","0","Midwest","US","3249","7","20","47","111","3","122","2","8","1502","3","7","245419"
"46","Roger Jett","901","0","Mid-South","US","4404","6","18","33","63","1","76","2","8","1064","4","5","18988"
"47","Cazz Bedford","900","0","Florida","US","2859","5","19","28","126","2","32","2","8","892","5","6","238566"
"48","Brad Moore","899","0","Ohio","US","5975","6","30","53","363","11","98","2","7","1673","9","4","57036"
"49","Seth Geary","897","0","Florida","US","4110","5","14","19","2","0","32","1","8","621","0","6","243919"
"50","Kyle Peterson","897","0","Carolina","US","2214","5","12","19","145","6","64","4","8","537","2","5","273318"
"51","Brandon Schmidt","892","0","Midwest","US","6383","4","32","38","182","7","66","1","7","1302","4","5","42361"
"52","Malachi Mathews","892","0","New York","US","1496","6","19","36","79","3","104","3","8","1198","2","6","279370"
"53","Joshua Kotten","889","0","Midwest","US","3704","4","24","31","280","10","44","1","7","1079","6","4","113433"
"54","Kyle R Morris","883","0","California Club","US","1811","6","38","75","810","19","188","7","8","1984","24","4","239007"
"55","David Galloway JR","883","0","Pennsylvania","US","4264","7","14","37","17","0","96","2","8","1069","1","7","280031"
"56","Howard Weaver","880","0","Mid-South","US","7303","2","10","11","299","9","6","1","5","377","8","2","89416"
"57","Brycen Daffern","871","0","Texas","US","5321","6","64","109","342","12","434","6","8","2999","4","6","210596"
"58","Kameron Key","870","0","Great Plains","US","3470","6","19","33","104","3","86","3","8","1058","2","6","253254"
"59","Jacob Fields","855","0","Indiana","US","5992","5","12","18","128","4","20","2","8","548","5","4","248798"
"60","Logan Christensen","852","0","Midwest","US","1701","6","36","65","147","5","198","3","8","1830","4","5","253765"
"61","Jeff Nevins","819","0","Great Plains","US","4315","5","30","51","35","2","98","2","8","1756","0","6","271100"
"62","Christopher Mann","818","0","Virginias","US","2559","3","22","26","166","4","48","2","8","909","6","3","71495"
"63","Corey Heffron","817","0","New York","US","2474","5","21","37","148","4","96","3","8","1058","2","5","137451"
"64","Tyler Walton2","815","0","Great Plains","US","3102","4","14","19","129","8","30","3","8","539","4","4","275383"
"65","Jesse Carr","801","0","Great Plains","US","2981","5","8","14","42","2","48","1","7","462","0","7","231510"
"66","Rick Gibson","779","0","Florida","US","3629","6","18","34","34","0","70","2","8","1045","1","6","280045"
"67","Tyler Spalding","777","0","Michigan","US","1702","5","12","24","111","4","58","3","8","710","1","5","244485"
"68","Shane DeVolder3","776","0","California Club","US","4014","6","5","13","28","1","72","2","8","394","0","5","265036"
"69","John Kennedy3","759","0","Illinois","US","2788","7","11","38","39","1","140","2","8","1275","1","7","64016"
"70","Chris J Smith","756","0","Carolina","US","4101","6","19","32","128","4","74","9","8","859","3","6","245914"
"71","Clint Porter3","755","0","Indiana","US","957","5","18","28","162","5","46","4","8","847","3","7","185735"
"72","Greg Throne2","752","0","Illinois","US","5516","7","10","24","17","1","58","3","8","566","2","5","239790"
"73","Nathan Casler","750","0","Midwest","US","4707","7","23","51","55","1","110","2","8","1597","4","5","90790"
"74","Justin Norwood2","745","0","Carolina","US","3794","2","10","10","154","4","10","2","5","350","5","2","294945"
"75","Austen Semmelmann","742","0","Midwest","US","3587","4","8","11","95","1","34","2","5","363","7","3","75333"
"76","Randall Carter","740","0","Mid-South","US","5119","6","17","36","87","2","84","5","8","1177","5","5","290760"
"77","Dylan Terlinde","740","0","Carolina","US","2702","4","12","14","92","2","32","2","7","478","3","4","59948"
"78","Chad Burt","740","0","Florida","US","3131","7","10","27","1","0","62","2","8","872","0","6","112121"
"79","Justin Raffurty","738","0","Great Plains","US","1862","3","11","12","67","3","16","3","6","420","1","5","91757"
"80","Allen Provenzano","727","0","Illinois","US","3663","1","13","13","347","10","8","1","5","455","10","2","100860"
"81","Torryn Shurts","726","0","Great Plains","US","2930","5","26","46","185","7","100","5","8","1312","6","5","266676"
"82","Dylan Wilson","719","0","West","US","7676","3","12","14","302","8","18","1","5","490","9","2","67353"
"83","Jason McConnell2","719","0","Georgia","US","2091","5","9","17","51","1","60","2","8","553","2","3","221830"
"84","Brandon Petersen","718","0","Michigan","US","2001","6","22","38","187","4","128","4","8","1149","6","6","268907"
"85","Bryan Crook","716","0","Carolina","US","1654","5","19","27","185","5","82","4","8","738","5","4","230434"
"86","Scott Fontaine3","714","0","Midwest","US","1348","5","13","20","229","6","56","8","8","606","6","4","271795"
"87","Benjamin Nading","712","0","Midwest","US","3407","5","33","54","295","9","120","5","8","1623","6","5","268671"
"88","Josh Wetzel","709","0","Texas","US","1108","5","27","49","227","9","128","6","8","1468","3","9","269145"
"89","Joshua Johnson6","706","0","Great Plains","US","1903","6","11","23","1","0","56","3","8","694","0","6","271465"
"90","Erik Arensdorf","704","0","Midwest","US","1609","5","20","33","102","3","78","6","8","1005","3","4","255121"
"91","Brett Pack","703","0","Florida","US","1260","5","16","34","316","11","90","3","8","928","8","5","269253"
"92","Austen Semmelmann2","702","0","Midwest","US","6192","2","5","5","100","2","2","1","5","175","1","2","269057"
"93","Ethan Stuckwisch","700","0","Illinois","US","2809","5","7","13","36","2","54","3","8","391","1","6","252196"
"94","Michael Holder","696","0","West","US","2146","7","6","16","5","0","48","2","8","531","0","8","93035"
"95","Denny Felker Jr","695","0","Great Plains","US","2566","7","10","22","33","1","68","2","8","525","0","9","159579"
"96","Justin Bieber","693","0","Northwest","US","2060","6","25","47","55","1","130","4","8","1465","2","5","203384"
"97","Drew Herchko","693","0","Pennsylvania","US","4742","5","8","13","44","1","28","1","6","408","3","3","236288"
"98","Dylan Schiebel","693","0","Ohio","US","3039","6","6","15","0","0","20","1","8","496","0","7","236532"
"99","Ryan Mueller","680","0","Great Plains","US","2411","5","40","70","352","10","118","7","8","2090","14","5","263708"
"100","Jason Nash","679","0","Illinois","US","1827","6","17","31","0","0","92","3","8","987","1","7","233946"
