"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"61","Nathan Sletto","496","0","Midwest","US","1496","5","18","28","78","2","70","5","8","879","2","5","292512"
"62","William Dahl","493","0","Great Plains","US","2678","7","7","19","0","0","70","5","8","630","0","7","236303"
"63","Justin Holt2","487","0","Texas","US","2514","7","7","21","61","1","34","5","8","627","1","7","305559"
"64","Connor Budensiek","484","0","Midwest","US","3792","5","16","30","114","3","68","5","8","904","2","6","279017"
"65","Tyler Burrow","479","0","Mid-South","US","5340","4","6","9","0","0","14","5","6","283","0","4","273201"
"66","Aaron Paule","478","0","Illinois","US","4416","6","8","13","8","0","22","5","8","393","1","4","269611"
"67","Matthew McKinney","477","0","Illinois","US","4756","3","6","7","115","4","6","2","4","234","5","1","97392"
"68","Eric Elmore","474","0","Ohio","US","3639","7","10","25","0","0","56","7","8","751","0","6","305943"
"69","Brandon Holder","472","0","Mid-South","US","3217","6","10","22","29","0","54","5","8","726","1","6","30754"
"70","Cazz Bedford","470","0","Florida","US","2859","3","8","8","62","2","8","5","6","280","2","4","238566"
"71","Jesse Isadore","466","0","Pennsylvania","US","3156","5","24","38","58","1","94","5","8","1150","2","6","299900"
"72","Andrew Towne2","466","0","Great Plains","US","1808","6","7","15","3","1","28","4","8","472","0","5","243526"
"73","Jeremiah Davis","464","0","Midwest","US","2440","4","9","15","103","3","36","5","7","522","3","5","213744"
"74","Christopher Geigle","460","0","Midwest","US","3583","6","10","26","34","1","34","4","8","818","1","8","304938"
"75","Rick Gibson","457","0","Florida","US","3629","6","8","16","2","0","18","4","8","513","1","6","280045"
"76","Jeremy Thornton","455","0","West","US","2873","4","10","14","41","2","32","5","7","432","1","6","45665"
"77","Matt Durbin","455","0","Midwest","US","1195","6","22","55","0","0","154","5","8","1480","0","5","296192"
"78","Mathew Emmerling","450","0","Carolina","US","5081","6","19","30","46","1","62","5","7","941","3","4","109070"
"79","Matthew Vann","450","0","Mid-South","US","1702","5","7","11","35","1","16","5","8","315","1","5","296172"
"80","Jared Mogard","439","0","Midwest","US","2686","5","6","10","0","0","18","4","8","319","0","4","85271"
"81","Brad Doss","437","0","Mid-South","US","2892","6","5","11","6","1","22","5","8","378","0","6","267753"
"82","John Fidler","437","0","Ohio","US","4736","4","7","7","34","0","10","5","5","210","2","3","41028"
"83","Erik Arensdorf","436","0","Midwest","US","1609","6","13","29","95","3","48","6","6","868","2","6","255121"
"84","Tyler Walton2","435","0","Great Plains","US","3102","1","7","7","166","5","6","6","6","245","4","2","275383"
"85","Matthew Logan","429","0","Carolina","US","3369","5","7","13","46","2","26","5","6","416","0","6","106260"
"86","Josh Vinci","428","0","Ohio","US","2715","6","10","24","0","0","68","5","8","721","0","6","263898"
"87","Brandon Hoekstra","426","0","California Club","US","1553","6","13","33","33","1","60","7","8","1000","2","6","85994"
"88","Jimmy Emery2","424","0","Great Plains","US","4337","4","5","7","9","0","8","4","5","222","0","4","231228"
"89","Kyle Young","420","0","New York","US","2535","4","13","14","35","1","8","6","5","490","1","5","72798"
"90","Jacob Blair","417","0","Great Plains","US","2334","5","7","15","0","0","26","5","8","515","0","5","49613"
"91","Cole Falloway","416","0","Mid-South","US","5348","3","9","10","64","2","16","4","5","315","3","4","199899"
"92","Petie Madrid","415","0","Virginias","US","947","7","12","39","0","0","98","5","8","1188","1","6","75100"
"93","Chris J Smith","404","0","Carolina","US","4101","6","6","11","23","0","20","4","8","297","1","6","245914"
"94","Dave Hartman","403","0","Michigan","US","2674","6","10","22","137","3","26","5","8","645","4","4","298790"
"95","Bryan Metterle","403","0","Florida","US","2734","6","5","10","63","2","22","4","7","292","0","7","154004"
"96","Eric Fargo","396","0","Pennsylvania","US","2836","3","8","8","107","2","8","5","4","280","4","2","270259"
"97","Taylor Brisighella","396","0","California Club","US","2414","6","15","29","8","1","88","6","7","782","0","6","299137"
"98","Derek Fedkenheuer","396","0","Midwest","US","3783","9","2","18","5","0","30","6","8","254","1","8","288923"
"99","Andy Hunter","392","0","Midwest","US","3423","5","8","12","44","2","28","5","6","368","0","5","233661"
"100","Casey Lindell","391","0","Great Plains","US","1989","6","9","19","70","2","22","5","8","585","3","6","270351"
"101","Travis Marsh","389","0","Mid-South","US","4309","4","7","9","167","5","4","2","4","299","4","2","245398"
"102","Chad Wheeler","388","0","Mid-South","US","2415","4","7","11","103","3","20","5","6","362","2","3","263476"
"103","Brandon Petersen","388","0","Michigan","US","2001","7","6","18","34","1","34","4","8","516","1","7","268907"
"104","Jeremy Ray","387","0","Mid-South","US","2715","4","6","7","70","2","4","5","5","245","2","5","269452"
"105","Thomas C Carberry","385","0","New Jersey","US","2651","5","6","7","0","0","10","4","6","240","0","5","276344"
"106","Eric Eichstadt","384","0","Midwest","US","2804","8","5","16","0","0","42","5","7","490","0","7","292091"
"107","Josh Corkwell","377","0","Ohio","US","1776","6","7","15","35","1","36","5","8","507","1","5","270946"
"108","Dylan Terlinde","376","0","Carolina","US","2702","6","7","12","17","0","40","5","6","366","2","5","59948"
"109","Joe Donahue","376","0","New York","US","2136","6","2","8","0","0","16","5","8","269","0","6","154888"
"110","Scott Dunlap","373","0","Pennsylvania","US","1789","7","4","13","0","0","30","5","8","448","0","7","19908"
"111","Robbe Ewing","364","0","Great Plains","US","2223","7","6","14","23","0","24","6","8","425","0","7","228648"
"112","Cole Smith2","360","0","Midwest","US","1780","6","8","14","22","0","32","5","8","414","1","5","271595"
"113","Josh Wetzel","357","0","Texas","US","1108","3","8","9","162","5","4","5","5","280","3","5","269145"
"114","Isaiah Geisel","357","0","Canada","CA","2290","5","5","8","65","2","10","5","5","210","2","5","80842"
"115","Cole Sink","355","0","Indiana","US","2656","6","9","21","76","3","80","4","5","652","2","7","306119"
"116","Tom Varley","355","0","Canada","CA","2080","7","7","20","0","0","38","5","8","503","0","7","42527"
"117","Dennis Potridge Jr","352","0","Virginias","US","2586","6","3","8","1","0","30","5","7","278","0","7","264890"
"118","Hobson Mahan","348","0","Mid-South","US","2134","4","26","35","117","3","58","4","5","1129","2","5","308892"
"119","Kyle Brown5","347","0","Midwest","US","1435","5","7","11","52","1","14","5","6","308","2","5","271686"
"120","Robby Bethea","345","0","Midwest","US","1880","5","6","8","30","1","16","5","7","254","1","6","155438"
"121","Aaron D Brown","344","0","Pennsylvania","US","2962","5","10","15","150","3","28","5","5","507","5","3","86779"
"122","Dustin Shoulders","342","0","Indiana","US","4681","5","4","9","64","1","8","4","6","279","2","5","213697"
"123","David Galloway JR","341","0","Pennsylvania","US","4264","5","8","15","68","2","40","4","5","458","1","6","280031"
"124","Chris Bohlman","340","0","New York","US","2617","5","5","7","0","0","22","5","5","230","0","6","17040"
"125","Jonathan Creech","338","0","Mid-South","US","1837","7","10","29","64","2","136","8","8","673","2","7","164083"
"126","David Colyer Jr","334","0","Mid-South","US","2287","4","21","26","70","2","34","5","4","906","2","4","38236"
"127","Kolton Snyder","330","0","Indiana","US","2130","5","7","11","20","1","32","5","6","355","0","5","235399"
"128","Zach Leonhardi","329","0","Georgia","US","6382","5","4","6","104","3","12","6","5","191","3","3","83087"
"129","James Rotruck","328","0","Atlantic","US","3786","8","1","13","0","0","16","5","7","396","0","7","254321"
"130","Trevor Throne","327","0","Illinois","US","6727","5","5","9","26","0","32","5","6","245","1","4","239931"
"131","Wes Hurd Jr","325","0","Pennsylvania","US","2022","5","7","9","0","0","28","5","4","293","0","5","52256"
"132","Brent Homan","323","0","Texas","US","1467","5","6","8","66","2","26","6","6","250","2","5","117783"
"133","Kenneth Mclaughlin","320","0","Pennsylvania","US","1785","7","6","18","0","0","62","5","8","418","0","9","294794"
"134","Brad Moore","318","0","Ohio","US","5975","4","7","8","26","0","16","5","4","275","1","5","57036"
"135","Cody Trammell","314","0","Indiana","US","2906","6","3","5","0","0","12","5","4","145","0","5","118000"
"136","jordan Walker2","312","0","Midwest","US","1977","5","8","13","24","0","34","5","7","439","2","8","303202"
"137","Daniel Smith2","310","0","Great Plains","US","1900","5","5","9","25","1","6","5","4","296","0","6","45700"
"138","Rene Chartrand","306","0","Canada","CA","2402","5","8","12","5","0","8","4","6","393","0","6","208680"
"139","Austen Semmelmann2","300","0","Midwest","US","6343","1","6","6","183","6","2","2","3","210","6","1","269057"
"140","Stephen Spies","300","0","Great Plains","US","4361","7","3","8","0","0","8","5","6","216","0","6","258176"
"141","Mike Keegan","298","0","Ohio","US","4895","8","5","11","0","0","32","5","8","360","0","8","269018"
"142","Chad Smith","292","0","Texas","US","1595","5","8","15","35","1","24","5","5","519","1","6","20070"
"143","Scott Parker3","292","0","New England","US","1588","7","3","8","0","0","32","5","8","254","0","8","213852"
"144","Scott Shroyer","291","0","Florida","US","4340","5","13","18","25","0","28","5","5","622","2","5","273224"
"145","Javin Coleman","291","0","Illinois","US","1610","7","5","13","35","1","46","5","7","352","1","6","267365"
"146","Billy Brickley","290","0","Illinois","US","4239","6","4","6","35","1","4","4","5","184","1","6","144874"
"147","Brock Lovett","290","0","Carolina","US","1633","7","2","8","0","0","30","5","6","251","0","8","273891"
"148","James Kugler","288","0","Georgia","US","2164","7","10","20","40","1","38","5","7","500","3","5","239376"
"149","Jeff Vernier","288","0","Illinois","US","2006","6","6","15","35","1","30","5","5","489","1","6","268813"
"150","Cole Reed","288","0","Mid-South","US","1328","7","4","14","3","0","38","6","6","307","1","7","269033"
"151","Bailey Loftin","288","0","Carolina","US","1765","7","3","12","0","0","36","5","7","280","0","7","275756"
"152","Michael Luna","279","0","Mid-South","US","1730","8","5","13","9","0","26","5","7","274","2","6","62902"
"153","Craig Adamzak","279","0","Midwest","US","3444","6","3","6","0","0","20","5","5","154","0","7","142402"
"154","Cody Erskine","278","0","Northwest","US","1510","6","3","7","1","0","10","5","5","242","0","6","115414"
"155","Matt Martin","276","0","Texas","US","3347","4","14","17","50","1","18","5","4","594","3","4","49992"
"156","Adam J Davis","276","0","Midwest","US","3249","6","3","8","0","0","18","4","4","249","0","6","245419"
"157","Tyler Blankenship","276","0","Virginias","US","2310","7","3","8","0","0","26","6","6","262","0","9","291532"
"158","Jason McSparron","275","0","Great Plains","US","2288","5","4","7","0","0","16","5","6","243","0","5","268159"
"159","Bradley Crose","274","0","Ohio","US","1387","6","8","12","20","0","28","5","6","365","1","4","298430"
"160","Trent Kidd","274","0","Georgia","US","2016","5","4","6","0","0","8","5","5","210","0","6","150858"
"161","James Edens","273","0","California Club","US","7363","3","6","6","50","2","4","2","2","210","1","4","77711"
"162","Terry Wolfe2","273","0","Mid-South","US","5517","2","3","3","33","1","2","3","3","105","1","2","268726"
"163","Josh Sunn","271","0","New England","US","1824","6","9","16","0","0","14","4","4","477","0","7","213291"
"164","Dustin Enderle","270","0","Texas","US","2071","4","7","9","56","2","26","5","4","263","1","5","251950"
"165","Alex Smolders","270","0","Canada","CA","5547","6","6","14","0","0","18","5","4","317","0","6","306417"
"166","Ronald Corkwell","269","0","Indiana","US","2036","7","13","31","0","0","78","5","7","909","0","6","302421"
"167","Bryan Root","267","0","Great Plains","US","3242","6","2","9","33","1","24","4","5","312","0","7","303501"
"168","Nick L. Gray","267","0","Midwest","US","3272","8","1","6","0","0","10","3","4","183","0","7","253049"
"169","Matthew Jordan2","266","0","Indiana","US","891","5","8","13","69","2","36","5","6","323","2","4","297987"
"170","Bud Watson","265","0","Ohio","US","2056","5","8","11","0","0","42","5","4","384","0","5","81515"
"171","Kyle Anderson3","264","0","Midwest","US","2212","6","8","20","0","0","70","5","5","575","0","6","199056"
"172","Kyall Fisher","264","0","Australia/NZ","AU","3329","6","3","8","0","0","32","6","4","242","0","8","157093"
"173","Brandyn Harris","258","0","International Club","US","1687","7","2","11","37","1","14","5","5","286","1","5","300606"
"174","Malachi Mathews","257","0","New York","US","1496","3","5","5","43","1","6","5","4","175","1","3","279370"
